source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
8311;235;0;1172;3666;35;8;1019;3666;35
220;1806;8;1466;2295;24;0;778;2295;24
186;5359;8;5180;4836;43;16;3346;4836;43
1813;236;8;2562;3330;29;9;1565;3330;29
9944;7216;17;4667;5284;49;24;3465;5284;49
6165;9880;9;1951;2655;25;0;1037;2655;25
5536;7383;19;4349;4771;44;19;3219;4771;44
8814;5128;31;8290;8446;78;17;5929;8446;78
1957;8606;21;7659;6013;52;11;3307;6013;52
6310;9664;9;4567;5382;50;8;3176;5382;50
9538;5739;16;8561;8796;76;19;5494;8796;76
8563;5047;8;1618;2416;23;2;782;2416;23
7815;5674;25;8659;9482;90;26;5712;9482;90
8835;8964;17;8984;8203;79;24;6199;8203;79
4514;6374;0;443;1302;16;0;255;1302;16
6697;2118;8;1026;2271;22;1;658;2271;22
6041;4932;5;1958;2651;22;0;1020;2651;22
5585;8157;25;6335;8485;76;17;5470;8485;76
8084;8557;13;4979;6155;52;15;4131;6155;52
997;6872;14;4970;6850;54;12;4386;6850;54
5128;9237;21;8619;8943;91;20;6891;8943;91
2024;892;9;4768;4325;40;11;2572;4325;40
1757;9100;16;5545;6506;59;12;4570;6506;59
6895;285;16;8635;8083;77;17;6649;8083;77
4433;1041;16;4661;4690;41;3;3105;4690;41
2848;4348;16;4140;5119;40;10;3057;5119;40
4213;238;0;701;1624;16;0;295;1624;16
7042;5037;10;6141;5544;50;20;4357;5544;50
1749;4276;0;1437;3140;32;6;994;3140;29
6324;2612;9;2615;3132;26;4;1458;3132;26
245;4868;0;1005;2335;23;0;688;2335;23
2681;3180;16;5421;6919;62;14;4729;6919;62
5703;3430;18;9132;9775;95;17;6790;9775;95
1537;932;8;2651;4816;50;18;2353;4816;50
9801;2298;24;9133;8936;73;47;7042;8936;74
9028;9558;8;2814;4213;40;8;1599;4213;40
8156;5529;8;2371;4813;43;8;2038;4813;43
7639;8980;18;5515;5757;55;8;3720;5757;55
3199;1862;16;5554;7344;64;8;4703;7344;64
8624;3713;16;4200;4314;42;0;1915;4314;42
6345;7239;16;7536;6862;67;17;5296;6862;67
6998;8186;8;1916;3967;35;8;1707;3967;35
2422;6986;1;399;1183;13;0;192;1183;13
994;7407;16;6882;7869;74;9;5205;7869;74
441;2982;10;3323;5098;11;8;2023;5098;12
946;3906;8;2632;3271;29;8;1531;3271;29
3759;5551;8;7472;8478;78;29;5794;8478;78
1804;7387;0;985;2443;21;8;712;2443;21
9764;1413;8;1953;3086;32;3;1262;3086;32
8976;2517;20;5914;5572;49;16;3977;5572;49
1679;3994;4;3672;3880;38;8;1660;3880;38
6582;3017;12;8731;9746;92;20;6242;9746;92
5096;4926;8;2235;2829;23;8;1215;2829;23
5830;9365;8;3401;3691;31;0;1644;3691;31
2635;4729;8;1367;3227;29;0;1135;3227;29
3382;7192;18;6116;6924;60;16;5229;6924;60
6900;2660;8;4834;5743;54;16;4253;5743;54
9054;2380;17;9454;7658;77;17;5607;7658;73
8985;6580;16;6220;6467;55;9;5048;6467;55
935;5313;25;7044;5099;39;16;2654;5099;39
6215;5700;11;7153;7329;67;24;5212;7329;67
3458;3026;0;187;1111;14;0;133;1111;14
501;734;17;3293;4618;45;2;2332;4618;45
1174;1398;8;1612;2411;28;0;782;2411;28
2933;4917;24;8558;7516;68;17;6280;7516;68
8033;3782;11;5961;6874;60;19;5071;6874;60
6537;7650;9;8042;9812;93;24;6796;9812;93
9599;4662;9;8053;8924;79;20;6717;8924;79
34;6474;16;4136;3919;36;4;2213;3919;36
6136;7393;17;5931;5488;48;12;4378;5488;48
8947;2232;18;8666;7998;72;12;4717;7998;72
7204;5829;17;7311;9043;81;10;4621;9043;81
7060;1868;8;661;1531;10;0;313;1531;10
1978;9736;0;324;1080;11;0;166;1080;11
4482;6671;16;7807;9807;85;26;6609;9807;85
4134;8326;0;748;2077;20;0;436;2077;20
1412;9538;8;324;1074;11;0;167;1074;11
4568;584;17;9955;10038;88;18;6947;10038;88
5481;8322;16;7201;7685;69;16;5483;7685;69
9881;2035;17;7721;7640;66;16;5890;7640;66
