source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
37611;35959;117;844;812;20;45;495;812;20
45024;19036;650;41591;9410;194;616;32511;9410;194
31569;45469;843;37941;9595;196;951;30909;9595;196
43363;47911;760;25305;6350;121;587;20380;6350;121
26946;44726;378;13139;3037;67;199;6728;3037;67
29083;3706;576;34546;8289;173;654;29691;8289;172
48743;28774;16;715;757;13;14;401;757;13
190;12756;556;35558;7323;145;613;28290;7323;145
20245;32721;154;5231;2997;60;135;3846;2997;60
48293;41964;413;17260;6428;135;416;15232;6428;135
20747;27460;336;13633;3535;66;232;8719;3535;66
25319;3339;283;11128;3001;59;183;6494;3001;59
5336;18974;358;15025;6306;70;291;11424;6306;70
19332;7544;694;35525;4994;110;410;16442;4994;110
38489;32014;559;22700;4896;100;409;16467;4896;100
1287;37167;358;13424;3077;66;205;6871;3077;66
9440;17626;623;30059;5375;105;494;20543;5375;105
31887;27245;131;4198;1711;35;64;2113;1711;35
31904;29033;407;16758;4851;87;258;10274;4851;87
37511;35946;362;16315;3385;69;188;6976;3385;69
23013;32078;137;4414;2274;45;90;2585;2274;45
14432;38739;176;6662;3215;63;128;4878;3215;63
22129;24673;789;49908;11587;242;825;36729;11587;242
23136;6818;393;15059;3244;67;200;7429;3244;67
34896;12427;266;10318;2695;56;163;5282;2695;56
38660;14125;619;28249;4753;97;306;11402;4753;97
15309;1503;397;16900;5448;114;364;14717;5448;119
27857;35384;635;30615;6729;132;442;18160;6729;132
41517;18176;59;1984;1210;26;31;926;1210;26
11208;7160;804;36211;9131;179;615;25128;9131;179
5097;26722;579;26001;5925;126;337;12766;5925;126
10888;30806;449;18960;4175;77;289;11882;4175;78
49370;10609;322;12023;2955;64;172;5876;2955;64
9038;16027;544;25038;5179;96;417;17047;5179;96
28173;33960;614;30726;5599;116;503;19817;5599;116
24199;16990;68;2381;1297;27;41;1172;1297;27
40742;22895;152;5537;1963;41;81;2771;1963;41
48358;6407;653;24296;4834;101;340;12230;4834;101
45568;19476;614;25652;7458;144;458;19112;7458;144
30224;40351;513;22866;6104;121;555;19204;6104;121
16386;3108;242;9298;3043;61;164;5775;3043;61
30132;11863;11;277;423;9;10;144;423;9
14446;6614;337;13260;3054;55;192;6701;3054;55
11129;33409;477;19820;6242;126;420;17270;6242;126
3587;41429;433;17688;5452;108;375;14712;5452;108
46080;27022;518;21918;4674;92;412;15711;4674;92
23090;9736;594;24905;6480;134;601;21782;6480;134
44777;6549;754;37521;7358;151;651;25757;7358;151
11901;16016;94;3387;2168;41;70;2335;2168;41
40193;43821;691;35010;7013;139;695;28607;7013;139
29643;27677;355;14173;4788;96;297;12543;4788;96
38632;10567;598;28344;6698;134;545;22717;6698;135
49097;5517;718;42335;8945;188;636;27762;8945;184
28481;38619;482;20134;3864;77;242;8730;3864;77
30090;37970;639;31087;6533;134;605;23608;6533;134
8210;13566;384;15932;3332;68;211;7970;3332;68
22927;14559;683;34635;8807;179;659;28825;8807;179
2811;32317;657;33445;6561;128;502;20782;6561;128
43842;30079;754;41472;9124;186;719;31095;9124;186
47524;41560;248;9321;3352;67;157;5983;3352;68
26876;33618;742;40114;6010;119;446;17236;6010;119
46863;39566;692;38933;8382;170;735;33288;8382;170
39415;25604;599;24381;4948;97;422;17263;4948;97
15613;39360;594;26607;5229;103;369;14286;5229;103
47037;29420;420;17311;5380;113;376;14731;5380;111
22717;33061;699;39329;6096;128;423;16621;6096;128
8319;13278;764;42981;8969;179;767;34772;8969;179
32062;23466;553;26091;5535;111;540;21188;5535;111
14994;33277;35;1151;981;19;27;665;981;19
12149;44707;701;37002;6706;131;544;22168;6706;131
15059;18945;247;9119;2536;54;129;4615;2536;54
30410;23811;756;47354;8032;164;754;31596;8032;164
8139;27328;775;44187;7275;150;676;28691;7275;153
13181;1332;154;5691;1977;38;59;1965;1977;38
28078;45453;298;11554;3021;58;168;6300;3021;59
20310;2115;557;26038;6949;135;516;22626;6949;135
41406;12762;753;40374;6250;122;521;21499;6250;122
11770;24571;631;29303;4536;94;271;10238;4536;94
34060;10970;758;49955;11988;238;904;37358;11988;238
9753;1788;532;23128;5447;110;382;13479;5447;110
41822;23800;536;23609;4488;98;384;14511;4488;98
8565;19560;215;8411;3250;67;157;5776;3250;67
46508;42462;631;29962;5769;113;501;19940;5769;113
10557;39066;586;26246;4999;94;433;17997;4999;94
42805;17363;688;36197;7933;166;671;28672;7933;166
10151;4579;383;15710;3885;78;269;10315;3885;78
846;5731;583;27141;4372;98;343;13734;4372;98
45228;40178;745;40387;6201;129;550;23084;6201;129
21002;27868;762;41036;7824;158;646;26316;7824;158
7500;7695;340;13893;4355;87;242;9221;4355;87
14598;4899;760;48952;10807;212;799;36245;10807;212
42803;25877;738;42496;6406;126;449;18335;6406;126
28411;21025;379;15849;4560;89;239;9137;4560;89
33604;12234;250;9702;2700;54;147;5169;2700;54
23270;36798;378;15205;3262;64;267;7651;3262;64
23905;14572;679;33253;6667;134;648;27045;6667;134
14164;34312;493;21243;4231;86;340;12282;4231;86
13821;31593;848;37360;5652;110;637;19594;5652;110
38055;14544;734;24202;5573;119;579;18426;5573;119
32600;12443;27;765;742;18;22;416;742;18
16070;30545;152;4748;1818;34;97;2473;1818;34
15162;41822;254;7422;2613;53;171;4787;2613;53
19680;11726;977;41563;9129;183;916;32092;9129;184
29099;23743;872;35727;5846;119;520;17406;5846;119
44417;20198;212;6231;2742;58;161;4267;2742;58
7278;6243;232;6104;2063;43;118;3162;2063;43
3069;21207;782;28328;6589;146;711;21330;6589;146
37150;6562;31;676;711;15;22;358;711;15
17289;26684;893;32998;6641;139;818;27789;6641;140
40113;11694;696;23052;5561;102;646;19687;5561;102
17129;46484;497;20605;4758;100;302;11648;4758;101
49689;32980;448;25655;4226;80;180;10913;4226;80
46052;23185;1688;48986;8097;161;586;28202;8097;159
14617;28893;517;23690;6476;128;629;20817;6476;128
47635;17817;373;4177;1725;38;83;2125;1725;38
40997;13073;604;22188;3941;84;363;11223;3941;84
537;19261;356;8998;2517;52;104;4560;2517;52
7698;32105;887;30304;8222;171;492;18853;8222;171
2845;26612;440;25472;6508;122;373;21685;6508;121
39068;40927;4;128;301;7;6;68;301;7
12306;19427;50;2999;1756;40;38;1980;1756;40
22166;2724;407;32853;7251;134;383;27785;7251;133
38311;10235;191;11596;3545;77;105;6904;3545;78
20220;1806;486;43703;7508;149;447;30249;7508;149
30186;5359;381;25805;6211;124;316;19189;6211;124
31813;10236;422;33793;7773;156;355;23986;7773;155
29944;17216;456;37259;7472;155;306;21125;7472;155
16165;29880;477;45184;8620;170;357;23208;8620;170
5536;47383;399;26711;5464;107;296;20529;5464;107
28814;25128;53;2898;1821;40;36;1987;1821;40
41957;18606;326;23767;4421;96;231;13585;4421;96
36310;39664;432;40226;5507;115;236;14424;5507;115
19538;45739;429;39545;8758;176;419;28595;8758;177
28563;5047;203;13116;3824;76;179;9973;3824;77
17815;45674;487;39088;7202;140;458;31277;7202;140
28835;8964;470;46819;8333;172;463;33192;8333;172
34514;6374;369;33729;5285;103;251;18908;5285;106
16697;42118;267;21077;4987;98;157;8416;4987;98
46041;24932;458;47362;8119;156;417;30090;8119;156
35585;8157;128;8212;2400;48;83;4302;2400;48
38084;38557;307;24499;4935;94;248;16371;4935;94
10997;36872;329;22982;5760;116;249;15943;5760;116
15128;39237;398;37350;5429;114;250;17742;5429;114
