source;target;Dijkstra-time;Dijkstra-iteration;Bidirectional Dijkstra-time;Bidirectional Dijkstra-iteration;
7611;5959;305;4712;112;3502
5024;9036;81;4712;74;3502
1569;5469;126;4712;96;3502
6946;4726;60;4712;28;3502
9083;3706;41;4712;59;3502
8743;8774;55;4712;62;3502
190;2756;12;4712;11;3502
245;2721;44;4712;31;3502
8293;1964;40;4712;54;3502
747;7460;15;4712;13;3502
5319;3339;13;4712;15;3502
5336;8974;10;4712;9;3502
9332;7544;37;4712;36;3502
8489;2014;42;4712;57;3502
1287;7167;4;4712;2;3502
9440;7626;26;4712;22;3502
1887;7245;25;4712;21;3502
1904;9033;13;4712;18;3502
7511;5946;38;4712;19;3502
4432;8739;9;4712;34;3502
2129;4673;3;4712;2;3502
3136;6818;40;4712;43;3502
4896;2427;16;4712;26;3502
8660;4125;59;4712;73;3502
5309;1503;45;4712;41;3502
7857;5384;36;4712;27;3502
1517;8176;40;4712;33;3502
1208;7160;34;4712;23;3502
5097;6722;26;4712;24;3502
888;806;27;4712;29;3502
9370;609;6;4712;4;3502
9038;6027;24;4712;23;3502
8173;3960;16;4712;7;3502
4199;6990;39;4712;29;3502
742;2895;29;4712;28;3502
8358;6407;3;4712;2;3502
5568;9476;26;4712;21;3502
224;351;27;4712;18;3502
6386;3108;18;4712;9;3502
132;1863;28;4712;20;3502
4446;6614;5;4712;4;3502
1129;3409;26;4712;23;3502
3587;1429;34;4712;34;3502
6080;7022;2;4712;2;3502
3090;9736;26;4712;28;3502
4777;6549;20;4712;28;3502
1901;6016;37;4712;39;3502
193;3821;18;4712;14;3502
9643;7677;32;4712;13;3502
8632;567;27;4712;26;3502
9097;5517;4;4712;3;3502
8481;8619;38;4712;29;3502
90;7970;19;4712;11;3502
8210;3566;35;4712;23;3502
2927;4559;10;4712;11;3502
2811;2317;28;4712;24;3502
3842;79;36;4712;35;3502
7524;1560;3;4712;5;3502
6876;3618;37;4712;36;3502
6863;9566;33;4712;13;3502
9415;5604;2;4712;2;3502
5613;9360;21;4712;9;3502
7037;9420;5;4712;4;3502
2717;3061;14;4712;15;3502
8319;3278;29;4712;25;3502
2062;3466;26;4712;24;3502
4994;3277;42;4712;38;3502
2149;4707;22;4712;13;3502
5059;8945;42;4712;18;3502
410;3811;10;4712;6;3502
8139;7328;26;4712;19;3502
3181;1332;31;4712;21;3502
8078;5453;29;4712;18;3502
310;2115;11;4712;6;3502
1406;2762;4;4712;3;3502
1770;4571;19;4712;16;3502
4060;970;14;4712;7;3502
9753;1788;18;4712;12;3502
1822;3800;22;4712;18;3502
8565;9560;22;4712;18;3502
6508;2462;8;4712;7;3502
557;9066;16;4712;14;3502
2805;7363;24;4712;24;3502
151;4579;16;4712;19;3502
846;5731;19;4712;10;3502
5228;178;13;4712;9;3502
1002;7868;4;4712;4;3502
7500;7695;10;4712;8;3502
4598;4899;20;4712;13;3502
2803;5877;23;4712;21;3502
8411;1025;21;4712;18;3502
3604;2234;15;4712;12;3502
3270;6798;12;4712;13;3502
3905;4572;18;4712;18;3502
4164;4312;11;4712;7;3502
8055;4544;24;4712;17;3502
2600;2443;16;4712;17;3502
6070;545;22;4712;24;3502
5162;1822;18;4712;10;3502
9680;1726;21;4712;26;3502
9099;3743;23;4712;18;3502
4417;198;3;4712;2;3502
7278;6243;5;4712;3;3502
3069;1207;3;4712;1;3502
7150;6562;18;4712;19;3502
7289;6684;14;4712;11;3502
113;1694;20;4712;14;3502
7129;6484;1;4712;1;3502
9689;2980;7;4712;3;3502
6052;3185;12;4712;10;3502
4617;8893;19;4712;12;3502
7635;7817;26;4712;22;3502
997;3073;2;4712;3;3502
537;9261;17;4712;9;3502
7698;2105;18;4712;13;3502
2845;6612;3;4712;3;3502
9068;927;20;4712;9;3502
2306;9427;19;4712;18;3502
2166;2724;2;4712;5;3502
8311;235;4;4712;4;3502
220;1806;5;4712;4;3502
186;5359;14;4712;11;3502
1813;236;8;4712;6;3502
9944;7216;17;4712;12;3502
6165;9880;6;4712;3;3502
5536;7383;12;4712;11;3502
8814;5128;21;4712;19;3502
1957;8606;21;4712;16;3502
6310;9664;14;4712;12;3502
9538;5739;23;4712;21;3502
8563;5047;10;4712;2;3502
7815;5674;25;4712;27;3502
8835;8964;30;4712;29;3502
4514;6374;2;4712;1;3502
6697;2118;4;4712;4;3502
6041;4932;8;4712;5;3502
5585;8157;19;4712;21;3502
8084;8557;16;4712;17;3502
997;6872;17;4712;18;3502
5128;9237;28;4712;34;3502
2024;892;25;4712;15;3502
1757;9100;25;4712;19;3502
6895;285;28;4712;31;3502
4433;1041;17;4712;14;3502
2848;4348;20;4712;17;3502
4213;238;6;4712;3;3502
7042;5037;35;4712;26;3502
1749;4276;7;4712;5;3502
6324;2612;14;4712;10;3502
245;4868;8;4712;7;3502
