source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path lengthBidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
8311;235;4;1172;3666;35;4;1020;3666;35
220;1806;4;1466;2295;24;4;779;2295;24
186;5359;14;5180;4836;43;11;3347;4836;43
1813;236;7;2562;3330;29;7;1566;3330;29
9944;7216;13;4667;5284;49;13;3466;5284;49
6165;9880;6;1951;2655;25;4;1038;2655;25
5536;7383;13;4349;4771;44;12;3220;4771;44
8814;5128;18;8290;8446;78;23;5930;8446;78
1957;8606;19;7659;6013;52;11;3308;6013;52
6310;9664;12;4567;5382;50;11;3177;5382;50
9538;5739;18;8561;8796;76;19;5495;8796;76
8563;5047;4;1618;2416;23;3;783;2416;23
7815;5674;20;8659;9482;90;17;5713;9482;90
8835;8964;20;8984;8203;79;19;6200;8203;79
4514;6374;2;443;1302;16;1;256;1302;16
6697;2118;3;1026;2271;22;3;659;2271;22
6041;4932;6;1958;2651;22;5;1021;2651;22
5585;8157;16;6335;8485;76;20;5471;8485;76
8084;8557;16;4979;6155;52;14;4132;6155;52
997;6872;14;4970;6850;54;16;4387;6850;54
5128;9237;19;8619;8943;91;21;6892;8943;91
2024;892;16;4768;4325;40;10;2573;4325;40
1757;9100;16;5545;6506;59;15;4571;6506;59
6895;285;19;8635;8083;77;20;6650;8083;77
4433;1041;14;4661;4690;41;10;3106;4690;41
2848;4348;11;4140;5119;40;13;3058;5119;40
4213;238;3;701;1624;16;1;296;1624;16
7042;5037;16;6141;5544;50;15;4358;5544;50
1749;4276;7;1437;3140;32;5;995;3140;29
6324;2612;10;2615;3132;26;6;1459;3132;26
245;4868;4;1005;2335;23;3;689;2335;23
2681;3180;15;5421;6919;62;15;4730;6919;62
5703;3430;20;9132;9775;95;21;6791;9775;95
1537;932;7;2651;4816;50;8;2354;4816;50
9801;2298;20;9133;8936;73;21;7043;8936;74
9028;9558;9;2814;4213;40;6;1600;4213;40
8156;5529;7;2371;4813;43;8;2039;4813;43
7639;8980;19;5515;5757;55;12;3721;5757;55
3199;1862;16;5554;7344;64;14;4704;7344;64
8624;3713;13;4200;4314;42;10;1916;4314;42
6345;7239;20;7536;6862;67;17;5297;6862;67
6998;8186;6;1916;3967;35;6;1708;3967;35
2422;6986;2;399;1183;13;1;193;1183;13
994;7407;19;6882;7869;74;19;5206;7869;74
441;2982;9;3323;5098;11;7;2024;5098;12
946;3906;7;2632;3271;29;5;1532;3271;29
3759;5551;19;7472;8478;78;20;5795;8478;78
1804;7387;4;985;2443;21;7;713;2443;21
9764;1413;6;1953;3086;32;4;1263;3086;32
8976;2517;16;5914;5572;49;13;3978;5572;49
1679;3994;12;3672;3880;38;6;1661;3880;38
6582;3017;20;8731;9746;92;20;6243;9746;92
5096;4926;7;2235;2829;23;4;1216;2829;23
5830;9365;9;3401;3691;31;7;1645;3691;31
2635;4729;4;1367;3227;29;4;1136;3227;29
3382;7192;16;6116;6924;60;17;5230;6924;60
6900;2660;14;4834;5743;54;13;4254;5743;54
9054;2380;19;9454;7658;77;20;5608;7658;73
8985;6580;16;6220;6467;55;17;5049;6467;55
935;5313;18;7044;5099;39;9;2655;5099;39
6215;5700;18;7153;7329;67;17;5213;7329;67
3458;3026;1;187;1111;14;1;134;1111;14
501;734;10;3293;4618;45;9;2333;4618;45
1174;1398;4;1612;2411;28;4;783;2411;28
2933;4917;19;8558;7516;68;21;6281;7516;68
8033;3782;16;5961;6874;60;18;5072;6874;60
6537;7650;18;8042;9812;93;21;6797;9812;93
9599;4662;22;8053;8924;79;26;6718;8924;79
34;6474;14;4136;3919;36;12;2214;3919;36
6136;7393;16;5931;5488;48;16;4379;5488;48
8947;2232;19;8666;7998;72;15;4718;7998;72
7204;5829;17;7311;9043;81;16;4622;9043;81
7060;1868;3;661;1531;10;2;314;1531;10
1978;9736;0;324;1080;11;2;167;1080;11
4482;6671;17;7807;9807;85;22;6610;9807;85
4134;8326;3;748;2077;20;2;437;2077;20
1412;9538;0;324;1074;11;1;168;1074;11
4568;584;24;9955;10038;88;26;6948;10038;88
5481;8322;26;7201;7685;69;24;5484;7685;69
9881;2035;17;7721;7640;66;20;5891;7640;66
1357;106;15;4321;6399;56;12;3667;6399;56
4441;282;2;237;960;10;3;130;960;10
2363;2726;9;1596;3569;31;8;1414;3569;31
9940;1376;22;8795;7121;66;16;4598;7121;66
5355;8159;18;7904;8838;85;21;6705;8838;85
3219;6862;6;1964;3425;33;7;1579;3425;33
4828;6071;21;7529;9051;81;21;6635;9051;81
9982;9933;3;656;2075;18;2;426;2075;18
9565;5955;14;5424;7038;62;16;4684;7038;62
2719;8433;9;2701;3818;38;5;1309;3818;38
7270;2640;6;2546;3178;27;5;1423;3178;27
3634;4563;19;7922;9627;89;21;6729;9627;89
8100;9571;2;884;1785;19;1;494;1785;19
1416;9129;19;7108;6469;59;15;4318;6469;59
7505;1393;12;2475;3535;34;6;1338;3535;34
2299;3955;17;6766;7839;72;16;4675;7839;72
8097;3608;10;2933;4157;38;12;2020;4157;38
6652;629;25;9998;10526;97;23;6893;10526;97
2168;376;3;814;1939;22;2;414;1939;22
2568;7788;19;8859;7734;69;20;6471;7734;69
8234;8770;16;5463;4513;47;10;2905;4513;47
649;9407;20;9481;9406;86;28;6968;9406;86
4875;9707;15;5011;6370;54;16;4273;6370;54
57;5652;18;6416;4867;47;10;2429;4867;47
8148;1180;18;5090;4569;38;14;2932;4569;38
465;2267;15;6219;8104;73;18;3958;8104;73
4055;3978;16;5335;4739;41;13;3139;4739;41
5535;3451;7;2417;3462;37;7;1651;3462;37
5018;9661;17;6712;5634;55;14;4306;5634;55
9414;4183;18;7135;6183;60;9;3019;6183;60
239;3199;5;1670;2438;20;4;810;2438;20
2255;6205;1;122;770;8;0;87;770;8
2356;7811;6;1789;3858;40;5;1608;3858;40
2574;1547;19;8647;9363;78;24;6775;9363;78
8038;6191;3;931;2424;20;2;686;2424;20
6623;7294;12;3453;5714;56;17;3045;5714;56
4433;359;4;999;1907;20;2;555;1907;20
5183;7048;2;292;1089;8;2;166;1089;8
8610;3895;4;989;1922;17;2;515;1922;17
6391;5645;12;3351;3781;34;8;2121;3781;34
221;4685;15;5072;6627;61;12;3271;6627;61
147;5915;8;2700;4064;38;9;1984;4064;38
2746;2417;2;732;1961;23;2;597;1961;23
6481;4867;18;7544;7301;73;20;6018;7301;73
6410;9250;18;7702;6268;55;15;4558;6268;55
6421;2744;9;3146;4495;40;9;2699;4495;40
2776;6863;2;610;1504;15;1;351;1504;15
5834;7683;3;1036;1859;19;2;490;1859;19
1211;4142;19;7623;6417;55;15;4907;6417;55
7058;6848;12;3539;5500;57;13;2956;5500;57
4584;3820;12;3919;3789;34;5;1627;3789;34
318;7401;19;7645;7259;74;18;5399;7259;74
5732;306;11;3104;5129;49;9;2708;5129;49
889;8637;18;6563;5270;42;11;3068;5270;42
7686;4176;13;4962;5307;46;14;4121;5307;46
8142;5821;11;3872;5212;50;11;2859;5212;50
8763;8841;1;248;1159;12;0;178;1159;12
187;8547;1;93;587;4;0;48;587;4
1156;6586;14;5695;7478;65;17;5062;7478;65
8717;9855;5;1528;2323;21;3;750;2323;21
9850;2568;2;552;1369;16;1;273;1369;16
4858;5903;2;701;1555;16;2;344;1555;16
4209;7941;18;7949;8680;81;20;4302;8680;81
