source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path lengthBidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
8417;7195;13;5158;5713;54;12;3508;5713;54
6228;7610;19;9778;10443;92;22;7157;10443;92
782;3577;14;6099;6512;52;10;2797;6512;52
8907;7189;20;7913;8416;75;19;6498;8416;75
5473;5816;10;3083;3375;31;5;1581;3375;31
6279;6614;13;4327;4691;41;9;3006;4691;41
1698;1722;20;9409;6622;62;14;4280;6622;62
4382;6081;16;5566;5408;44;10;3063;5408;44
9322;2644;6;2247;4333;35;7;1955;4333;35
6545;5274;14;5279;6133;56;10;3008;6133;56
255;5385;15;6376;5321;50;13;3975;5321;50
3663;2347;20;9377;11584;103;24;7401;11584;103
1803;8116;11;3639;4857;43;8;1842;4857;43
1813;9646;19;9361;8585;75;18;5893;8585;75
6651;8897;0;91;566;5;1;48;566;5
4528;4665;17;7789;7011;67;19;6226;7011;67
195;361;20;8225;8959;82;19;5951;8959;82
9363;6980;20;7180;5822;55;15;4047;5822;55
927;4201;20;9816;10885;102;21;7175;10885;102
6340;3095;9;2866;3971;36;7;1988;3971;36
2756;9870;19;7761;8516;79;21;6140;8516;79
2704;9604;13;4335;4072;38;8;2353;4072;38
3380;6638;19;9106;7095;65;17;5320;7095;65
4383;7342;9;3108;3915;47;8;2167;3915;47
8928;70;18;9558;11867;101;23;7472;11867;101
6754;3781;14;5051;7792;72;13;4433;7792;72
2313;1292;20;8649;9066;98;18;5836;9066;98
8777;8751;10;3300;4943;45;10;2844;4943;45
5743;1808;18;7542;7362;68;19;5787;7362;68
7537;9669;14;4422;4898;40;7;1785;4898;40
9114;2836;15;5751;5539;49;13;3613;5539;49
3450;6903;1;637;1669;14;1;406;1669;14
9879;4405;3;847;1795;19;1;360;1795;19
7383;2413;13;4235;3927;35;8;2178;3927;35
3978;2036;17;8061;7610;68;16;4681;7610;68
207;7739;9;3521;5126;47;10;2749;5126;47
9586;7718;17;8278;9228;79;19;5922;9228;79
5072;3439;15;6146;4668;46;9;2619;4668;46
9946;1444;13;4681;6929;63;12;4020;6929;63
531;9307;17;7856;8808;56;20;4301;8808;56
3307;4720;2;529;1360;12;1;273;1360;12
874;9305;15;5537;4625;49;11;2986;4625;49
4063;8373;0;339;1654;17;2;298;1654;17
7638;9520;14;5567;7459;66;15;4572;7459;66
8960;25;13;3958;4478;46;9;2535;4478;46
7510;4562;18;7415;7926;76;20;6400;7926;76
6495;4018;17;7632;8545;80;17;5218;8545;80
9705;9807;19;8829;7073;57;15;4596;7073;57
4625;1633;1;126;659;6;1;80;659;6
1397;42;3;1248;2094;21;2;524;2094;21
8147;1360;12;5049;5252;49;13;3570;5252;49
1472;1205;4;1318;2139;24;4;639;2139;24
8863;5844;19;7525;9014;80;16;5553;9014;80
5339;11;19;8535;6464;58;15;4779;6464;58
23;3359;13;4886;5586;52;11;3487;5586;52
4046;9018;24;8063;7222;61;19;5720;7222;61
3485;3173;14;5059;4254;38;8;2084;4254;38
158;2956;11;3679;3802;34;8;1991;3802;34
8293;9000;20;9602;11143;96;22;7416;11143;97
9819;4608;8;2571;5069;47;7;2242;5069;47
4834;5266;13;3595;4523;40;11;1940;4523;40
7415;170;2;480;1311;11;0;264;1311;11
9821;5662;11;3561;4804;47;9;2370;4804;47
2769;2915;4;1265;2765;24;3;881;2765;24
3093;2020;13;4551;5150;46;8;2735;5150;46
639;6366;11;4118;4060;38;8;2362;4060;38
8416;2991;15;5539;6634;59;13;3779;6634;59
5274;3577;15;6793;8450;23;12;3697;8450;23
879;3501;2;608;1506;13;1;332;1506;13
1523;7324;6;2034;3628;35;5;1390;3628;35
7839;3682;20;9817;10273;96;22;7219;10273;96
2356;1041;10;3533;5864;53;11;3148;5864;53
9836;5481;0;98;587;7;1;56;587;7
6449;9280;20;8614;7300;65;23;6159;7300;65
8352;7737;3;1183;2522;24;4;758;2522;24
236;4597;15;6818;7068;70;17;5286;7068;70
889;8591;19;8382;6594;53;15;4922;6594;53
8312;6608;19;8250;8620;75;19;6456;8620;75
3065;2654;19;8637;7875;69;20;6416;7875;69
2950;3337;15;5851;4631;47;10;2457;4631;47
8023;8800;3;893;1782;18;1;476;1782;18
1787;8638;20;9802;10047;89;21;7096;10047;89
5539;4391;3;541;1736;13;2;342;1736;13
5683;7995;21;8367;8635;86;21;6737;8635;86
854;9892;18;7432;5515;50;12;3501;5515;50
5806;5413;18;6794;5333;45;13;3803;5333;45
3575;6963;18;8375;9011;78;21;6776;9011;78
1448;5475;3;821;1736;16;1;442;1736;16
3530;897;17;6326;8321;72;16;5455;8321;72
6231;2889;19;8162;7314;65;18;5971;7314;65
4020;1323;5;1489;2704;22;4;1031;2704;22
6461;3362;20;9082;10140;85;24;7078;10140;85
1241;981;7;2156;2822;25;3;806;2822;25
7069;6425;4;1720;3590;33;6;1475;3590;33
7894;2884;14;4923;4263;45;8;2151;4263;45
5099;9252;17;6964;8047;72;17;4842;8047;72
2971;537;7;1832;2583;24;3;963;2583;24
364;3246;17;6337;6175;52;12;3832;6175;52
5056;1274;19;8383;7794;66;17;5336;7794;66
1021;4000;5;1294;2209;22;2;500;2209;22
1624;4030;15;5295;5765;54;12;3758;5765;54
5711;5659;12;4815;5871;53;13;3503;5871;53
9859;7204;20;8499;8931;84;17;5342;8931;84
9103;6244;16;6767;7851;73;14;4659;7851;73
5773;8145;19;9228;7907;69;17;5662;7907;69
2020;9532;15;6360;7530;68;15;4350;7530;68
9108;7316;9;3431;3665;33;7;1862;3665;33
4818;8427;19;8877;10493;97;20;7061;10493;97
1207;6392;18;7909;7072;67;14;4561;7072;67
1739;8825;6;2113;3238;31;6;1434;3238;31
329;8181;16;6330;8374;73;15;4600;8374;73
213;3913;8;2213;2795;25;5;1075;2795;25
4901;1475;18;8670;8180;72;20;6447;8180;72
5943;8514;16;7081;7984;74;18;6108;7984;74
6236;9741;12;4525;4577;45;14;3000;4577;45
8077;9338;4;1009;1915;19;2;541;1915;19
1161;5694;1;522;1393;14;0;269;1393;14
7115;4625;19;8700;6903;54;18;5471;6903;54
6614;3626;17;6577;5453;49;12;3532;5453;49
4093;7016;1;482;1439;14;2;312;1439;14
4616;299;0;477;1212;12;1;264;1212;12
477;6957;13;4740;4131;40;9;2416;4131;40
1796;9687;2;832;1735;17;3;424;1735;17
7214;9748;1;378;2160;14;2;272;2160;14
1429;474;12;3534;4488;42;10;2331;4488;42
6965;6627;1;398;1245;12;2;256;1245;12
8166;3126;2;462;1284;17;0;224;1284;17
7816;3466;15;5483;4576;38;10;2931;4576;38
3513;1875;11;3918;4935;48;9;2543;4935;48
1198;5501;19;9848;10629;95;21;7100;10629;95
8314;9796;0;267;1009;11;1;136;1009;11
7830;4895;17;7052;7919;73;16;4998;7919;73
2414;8;13;4610;5940;57;12;3679;5940;57
1284;4941;13;4902;5667;47;13;3558;5667;47
7589;3337;19;8528;6294;59;13;4033;6294;60
4246;1044;4;1217;2594;23;3;780;2594;23
1438;7045;5;1836;3152;31;4;1236;3152;31
8805;3872;21;7982;7404;66;17;5775;7404;66
3994;3079;13;4940;5912;61;10;3075;5912;61
9462;1586;19;8376;6734;67;16;4637;6734;67
1592;4770;17;8775;9145;90;23;7005;9145;90
1504;3884;18;7558;5182;49;11;2943;5182;49
5712;7097;1;512;1383;13;1;294;1383;13
5160;5148;15;6127;6180;58;15;4252;6180;58
6555;3117;11;4273;5352;51;9;2655;5352;51
5704;8756;19;8595;9825;92;25;7127;9825;93
7615;9507;9;2986;3852;38;8;2081;3852;38
6414;8898;19;9459;10227;100;21;6972;10227;100
8105;3121;6;1853;2664;24;4;1057;2664;24
3744;7873;17;6649;7325;67;17;5408;7325;66
9571;6390;3;1030;1920;22;2;574;1920;22
5198;9450;20;9770;9788;93;21;7044;9788;93
7717;8019;17;7264;6119;53;14;3963;6119;53
7744;584;19;9590;9473;91;18;5848;9473;89
7079;8618;16;6351;6710;57;13;3775;6710;57
9390;103;17;6292;6200;56;16;4884;6200;56
9060;5617;12;4045;3797;37;6;1799;3797;37
494;7048;9;2662;3087;30;4;1349;3087;30
2123;1379;15;5835;6588;61;11;3133;6588;60
9096;5780;9;3304;3708;36;7;1748;3708;36
7279;6435;3;1322;2199;21;2;692;2199;21
7222;2234;9;2661;3461;34;5;1531;3461;34
5487;558;7;2423;2992;28;4;1326;2992;28
2183;2487;7;1945;4544;38;5;1755;4544;38
2319;9740;13;5143;7752;74;14;4510;7752;74
9874;6721;3;1120;1990;16;3;544;1990;16
1653;3154;14;5974;5558;54;16;4195;5558;54
6120;3568;11;3568;3663;27;6;1820;3663;27
512;7864;17;5614;5502;47;15;4239;5502;47
4738;1257;8;3103;4141;43;12;2210;4141;43
3969;130;19;8449;6343;53;15;4809;6343;53
4682;4057;16;6420;6270;56;14;4198;6270;56
622;3005;13;5015;6197;59;13;4014;6197;59
5125;8682;17;6991;7611;57;17;5284;7611;57
4220;440;16;6351;8885;80;18;5608;8885;80
6653;5093;5;1555;3288;30;5;1149;3288;30
9642;6300;9;3306;5755;56;10;2952;5755;56
5853;6116;21;8951;9641;85;22;7264;9641;85
8061;1609;6;1646;2475;24;2;817;2475;24
3430;5506;15;5284;6711;65;16;4661;6711;65
9749;3406;15;6779;7477;72;14;4134;7477;72
7871;9074;7;2573;3627;39;7;1514;3627;39
5294;2324;16;6556;6763;59;15;4214;6763;59
8841;5721;17;7784;7879;73;26;5967;7879;73
6482;5208;19;7614;5710;55;14;4367;5710;55
4640;6089;8;2947;4990;46;8;2496;4990;46
1084;4628;17;5112;6174;55;14;4457;6174;55
2269;267;6;1475;2286;21;3;691;2286;21
232;3321;13;5654;7739;63;15;4554;7739;63
5288;8375;8;2345;2989;30;4;1139;2989;30
4790;2043;5;1404;2330;23;3;784;2330;23
859;3955;20;8983;7384;73;16;5497;7384;73
2126;7545;0;191;991;9;2;158;991;9
3922;8918;12;4075;5953;58;9;2746;5953;58
6957;4935;19;8380;7906;75;19;6351;7906;75
8559;9880;10;3492;4981;51;10;2811;4981;51
3613;634;6;2191;2819;26;4;1113;2819;26
3722;824;9;3304;4818;43;10;2884;4818;43
4435;4751;5;2129;3842;32;7;1447;3842;32
6773;9337;22;9859;9880;92;20;6780;9880;92
2737;1592;8;2889;3224;33;6;1398;3224;33
7757;6042;18;7987;6562;59;15;4525;6562;59
4060;9684;13;4467;3974;33;8;2188;3974;33
9340;9473;1;329;1116;12;1;190;1116;12
7976;4746;17;7247;6907;66;14;4337;6907;66
5164;7955;11;3986;3744;30;6;1868;3744;30
4431;466;8;2299;5009;42;8;2054;5009;42
1750;4722;19;9851;9724;86;21;6558;9724;86
7424;2560;6;2130;4029;37;6;1730;4029;37
6008;3891;19;6635;7297;69;15;4401;7297;70
8036;4526;9;3168;4285;45;6;1787;4285;45
3253;3339;2;452;1238;16;0;228;1238;15
1244;9556;19;8378;7621;74;19;5217;7621;74
6503;2694;12;4083;4275;37;10;2575;4275;37
6407;743;14;5109;6669;59;16;4306;6669;59
6160;5876;7;2405;3798;32;7;1572;3798;32
4448;539;16;6238;6260;53;12;3551;6260;53
1917;9265;20;9095;7529;64;19;5813;7529;64
7827;5878;17;6886;5753;59;14;3885;5753;59
9419;8863;13;3189;3483;34;5;1371;3483;34
4080;1955;10;3445;5060;45;10;3078;5060;45
1668;2145;19;9698;10871;105;23;7387;10871;105
5224;4896;0;310;1334;13;0;216;1334;13
5330;4598;13;5105;4571;39;13;2894;4571;39
7092;1285;12;4641;5879;56;12;3789;5879;56
5540;2737;6;1951;3489;35;5;1346;3489;35
7446;3808;2;658;1550;16;2;386;1550;16
238;4385;8;3043;4797;37;7;2250;4797;37
2807;1489;15;6072;6140;60;15;4972;6140;60
970;4882;13;4472;4972;45;11;3082;4972;45
9247;3199;19;9144;6180;56;15;3581;6180;56
9965;1087;18;4799;5029;46;12;3156;5029;46
2003;9414;11;3492;3816;33;9;2161;3816;33
9989;65;9;3215;4493;44;10;2701;4493;44
3144;6142;19;8877;9746;87;21;6875;9746;87
3838;265;10;3820;5330;49;10;3346;5330;49
8741;2649;19;8618;5658;53;10;3276;5658;53
5012;1638;10;3326;4495;39;7;1870;4495;39
3495;9304;19;8546;9574;83;20;6567;9574;83
418;7476;10;3126;4196;43;7;2080;4196;43
5711;442;16;6240;7091;62;14;3897;7091;62
8009;5361;14;4985;5466;50;10;3044;5466;50
9494;6595;18;8274;8564;82;20;6631;8564;82
8604;1117;17;8209;9028;88;18;5322;9028;88
4160;645;20;9916;8809;80;19;5851;8809;81
4120;7853;9;3371;4303;33;8;2486;4303;33
8046;429;15;5476;6431;55;13;4127;6431;54
2321;9708;14;5550;5037;43;13;3463;5037;43
8573;4124;5;2005;2704;25;4;1009;2704;26
7768;1455;10;2957;3277;32;7;1541;3277;32
317;176;2;659;1562;18;2;367;1562;18
9097;6083;13;4509;5294;44;12;3423;5294;44
652;9615;15;6491;6096;55;16;4886;6096;55
4832;6198;19;8631;6362;68;15;4769;6362;68
7920;8192;5;1724;2959;31;4;1130;2959;31
3451;6206;13;4605;4548;38;10;2723;4548;38
7315;1814;18;7816;8917;82;19;6291;8917;82
1563;8714;20;9517;6627;64;14;3599;6627;64
1688;4137;10;3820;5978;56;12;3323;5978;58
9380;6835;15;5813;4842;43;11;2493;4842;42
5437;5826;17;6886;6695;56;18;5464;6695;56
6468;3022;15;6101;8799;82;16;5127;8799;82
5817;1411;12;4169;4740;43;8;2669;4740;43
896;7873;11;3320;4361;42;9;2605;4361;42
9924;2961;10;3763;3624;33;5;1367;3624;33
9210;4719;19;9315;7155;72;17;5227;7155;72
9254;8592;18;8493;8144;73;19;6150;8144;73
9615;4546;7;2913;3301;32;6;1301;3301;32
3095;5689;8;3293;4580;42;9;2471;4580;42
6540;5716;16;3350;3468;33;12;1505;3468;33
8598;3930;13;4802;6155;57;13;3796;6155;57
5761;8634;15;5423;5796;53;10;2884;5796;53
1334;7162;10;3427;6073;60;10;3098;6073;60
7870;846;13;4710;5842;49;11;3459;5842;49
2546;5271;18;7505;6882;56;16;5034;6882;56
8090;9511;6;1990;3409;35;4;1343;3409;35
3888;398;4;915;2070;24;2;635;2070;24
7986;9703;13;4985;6198;56;14;3397;6198;56
7043;4135;18;7949;5651;51;13;3658;5651;51
7246;5713;20;7830;7024;62;19;5621;7024;62
1931;3290;10;3555;4195;41;6;2046;4195;41
143;2548;21;8275;8718;76;21;5224;8718;76
8600;3761;5;1384;2871;26;5;1063;2871;26
6501;681;18;7679;7204;67;17;5124;7204;67
6988;5068;13;5385;6264;61;11;3517;6264;61
9725;1989;1;212;895;11;0;134;895;11
5134;9979;18;8355;7624;72;20;5949;7624;72
6920;5947;14;5595;4470;39;10;2820;4470;39
3498;3020;11;3980;3831;30;7;2068;3831;30
5894;5809;14;4539;4843;53;11;2778;4843;53
213;5505;14;4666;4155;38;5;1694;4155;38
1537;4381;10;3325;5568;55;11;2986;5568;55
3391;5053;2;984;2270;17;2;512;2270;17
7127;877;13;5078;7619;55;12;3811;7619;55
3985;9211;13;4435;5409;52;10;2976;5409;52
4143;3072;18;6495;7694;77;18;5442;7694;77
3046;1018;18;6989;6084;53;14;4069;6084;53
4860;5683;10;3594;4155;40;8;2088;4155;40
4838;5113;19;8404;8507;78;19;6580;8507;78
5103;8620;7;2196;3275;29;7;1476;3275;29
4190;219;9;2402;3124;31;5;1235;3124;31
2182;1405;14;4257;5906;52;15;3658;5906;52
1083;7463;8;2581;3054;29;4;1263;3054;29
2451;2085;20;9729;7238;69;16;4740;7238;69
2612;4832;9;2756;3153;31;5;1371;3153;31
3112;2025;12;4314;6232;16;8;2617;6232;16
7512;8251;19;8695;9412;87;21;6730;9412;87
4414;3114;20;8150;6406;68;10;3138;6406;68
2556;6962;13;4026;5538;47;10;3258;5538;47
1669;5363;10;3290;3676;28;4;1371;3676;28
135;6692;17;5996;6816;58;18;5084;6816;58
8998;1906;14;5089;6319;58;14;4192;6319;58
6361;9270;18;7223;6052;56;16;4642;6052;56
1060;6640;11;4309;5495;54;11;3036;5495;54
5893;1947;0;177;767;6;1;83;767;6
5185;5039;4;1001;2491;24;2;695;2491;24
4112;6091;11;4227;6713;62;13;3800;6713;62
4108;8223;18;7020;5107;47;9;3135;5107;46
1058;8563;7;2508;3031;27;6;1285;3031;27
5719;876;19;9560;7385;62;15;4842;7385;62
3241;1080;19;8621;9741;91;15;4931;9741;91
5175;8648;2;692;1564;15;3;370;1564;15
492;2169;15;4897;4655;46;8;2341;4655;46
7430;3393;19;6579;4962;45;11;3210;4962;45
5165;4561;4;1384;2246;19;3;716;2246;19
3602;1502;15;5185;5946;64;14;4512;5946;64
1016;3318;9;2471;2990;30;4;1242;2990;30
3448;7067;19;9720;8816;82;20;6435;8816;82
9192;2545;18;7668;6217;56;14;4456;6217;56
3211;9646;5;1532;2333;18;2;584;2333;18
9289;698;2;541;1398;13;1;293;1398;13
9758;2038;14;5451;5194;46;12;3547;5194;46
4248;4511;18;7714;6658;61;19;5047;6658;61
754;8768;20;7791;6771;60;17;5668;6771;61
1494;9616;16;6262;5961;55;14;3950;5961;55
1480;2469;19;8611;9715;90;21;6947;9715;90
4251;6651;12;4137;3908;32;8;2089;3908;32
3832;6355;2;576;1460;15;1;297;1460;15
9768;7263;3;1104;2675;23;4;801;2675;23
666;2373;16;5863;6907;65;17;5154;6907;65
965;6015;4;725;1640;13;1;361;1640;13
5826;8066;3;1144;2055;20;2;581;2055;20
6729;3221;3;955;1867;17;2;448;1867;17
8089;8496;0;180;843;9;1;123;843;9
9687;9264;14;5707;5477;48;13;3899;5477;48
8854;498;17;7247;9009;86;19;5173;9009;86
1157;7963;12;4484;5812;56;13;4037;5812;56
187;6693;3;705;1564;16;2;350;1564;16
7640;1291;18;9174;9472;80;23;6955;9472;80
4300;9043;17;6931;7854;68;19;5212;7854;68
7724;4693;18;7449;9318;86;15;4564;9318;86
2794;9250;17;6058;6097;52;14;4237;6097;52
5040;7114;17;7066;6971;63;17;5011;6971;63
9774;3549;12;3965;3794;41;6;1869;3794;41
3598;6833;14;5240;5116;48;12;3161;5116;48
4817;5020;19;8759;8964;81;19;6821;8964;81
3255;1423;10;3569;4775;43;9;2469;4775;43
2887;3154;15;5845;6260;60;14;4412;6260;60
4413;5413;16;6442;5869;49;15;4475;5869;49
1485;2611;13;4076;3838;33;7;1840;3838;33
7306;613;14;6197;7636;62;17;5372;7636;62
5080;8976;7;2439;4173;40;8;2080;4173;39
7918;2434;16;7564;7762;66;20;6188;7762;66
4540;2753;21;9365;7765;73;16;4675;7765;73
6982;1636;6;1484;2335;21;3;850;2335;21
6894;9485;14;4851;5302;45;12;3322;5302;45
9175;2517;15;6185;6356;60;15;4636;6356;60
2177;1065;13;5307;6327;64;15;4608;6327;64
443;2251;14;5073;5093;44;12;3506;5093;44
1852;1323;11;4136;4471;40;10;2606;4471;40
8210;8306;3;985;1897;16;2;494;1897;16
7645;89;19;8392;8571;78;20;6402;8571;78
6969;1413;10;3431;3585;34;6;1847;3585;34
3543;9379;24;8903;8801;83;21;6641;8801;83
9880;6361;5;1271;2096;21;3;644;2096;21
9047;6874;20;9693;7358;65;12;3777;7358;65
197;3191;2;453;1250;13;1;250;1250;13
661;8347;20;8691;6940;51;14;3927;6940;51
5287;5427;8;2703;3876;34;8;1884;3876;34
6677;764;24;9553;9911;94;22;6877;9911;94
5653;5677;20;9617;11611;109;24;7372;11611;109
5612;1378;17;7111;7076;59;19;5830;7076;59
7356;2916;5;1008;1954;17;2;498;1954;17
8000;861;11;3945;5785;58;12;3455;5785;58
4143;2386;0;48;423;6;1;50;423;6
281;8433;19;8827;9110;82;17;5474;9110;82
4473;872;18;6257;7002;66;13;4019;7002;66
1156;9921;2;583;1448;15;2;373;1448;15
702;5014;20;9778;11160;108;24;7247;11160;108
2758;6089;13;4631;4213;35;8;2449;4213;35
5519;9479;18;7571;9068;81;20;6656;9068;81
524;2856;17;8491;8098;72;23;6595;8098;72
6573;3607;1;392;1182;13;2;202;1182;13
8353;2968;5;1733;3513;32;6;1442;3513;32
5364;2898;15;6212;6977;64;16;4938;6977;64
5066;3180;11;4127;6708;67;12;3614;6708;67
921;9483;14;5665;6658;51;14;4483;6658;51
475;5942;1;178;1038;10;0;121;1038;10
2783;3925;19;9005;8847;55;15;4610;8847;55
9724;4226;19;8746;8225;71;15;4783;8225;72
770;4770;19;8859;9769;88;20;6935;9769;88
9030;8802;6;1635;2573;25;4;871;2573;25
6390;4565;3;1265;2364;23;3;814;2364;23
9272;9766;19;9157;8291;65;21;6287;8291;65
186;9318;17;6648;5904;53;13;3884;5904;53
5654;8823;11;4009;7212;64;12;3625;7212;64
4534;2530;19;9055;10192;103;21;7124;10192;103
7488;2225;3;1045;1941;20;3;552;1941;20
8388;3931;17;8024;5583;52;10;3213;5583;52
8385;3915;7;2036;3421;32;4;1356;3421;32
1867;771;19;8618;7056;59;18;5618;7056;60
2206;8708;16;6630;5260;50;10;3018;5260;50
3013;6193;15;5954;7669;72;15;4274;7669;72
4382;7660;13;3118;3806;41;6;2004;3806;41
8339;1118;13;4504;6121;55;14;3977;6121;55
2841;2876;17;7071;6904;67;17;4981;6904;67
5671;2783;17;7506;7207;73;17;5299;7207;65
3033;1619;6;1771;3245;29;5;1273;3245;29
6766;879;5;1379;2977;27;4;1032;2977;27
9997;7406;19;9361;9451;78;18;6137;9451;78
3952;4775;1;74;504;7;0;43;504;7
9837;2162;17;6549;6878;62;16;5377;6878;62
6048;5341;14;5139;4304;36;13;2584;4304;36
375;7721;18;7173;7367;68;19;5837;7367;68
9023;5575;19;9766;10263;96;23;7156;10263;96
232;3527;17;7676;9215;88;18;6183;9215;88
8157;2570;2;367;1136;11;1;173;1136;11
262;6232;0;199;877;10;1;85;877;10
9183;868;7;2049;2853;27;4;1147;2853;27
6922;3113;9;2681;3120;28;5;1398;3120;28
764;4881;14;5586;7214;64;16;4800;7214;64
6299;9327;5;1624;3279;33;3;972;3279;33
545;4366;18;7891;8345;78;20;6431;8345;78
2821;4903;11;3749;3690;39;7;1919;3690;39
1989;5640;21;8981;7533;73;16;4798;7533;73
7145;9339;7;2275;4865;48;7;2018;4865;48
7606;528;20;9861;11392;105;22;7415;11392;105
5198;9806;12;3899;4582;41;7;2209;4582;41
2082;6509;20;9937;9676;93;18;6289;9676;93
7157;7989;11;3420;3754;34;7;2068;3754;34
3266;7662;19;8062;8468;75;21;6555;8468;75
6522;8929;7;2354;2920;24;4;1175;2920;24
3297;5771;13;4946;5447;49;7;2337;5447;49
4470;1629;20;8294;7727;70;21;6036;7727;70
1882;870;18;6736;4888;50;10;2913;4888;50
2929;3104;8;3203;5373;43;10;2753;5373;43
4799;868;10;3687;6287;55;12;3276;6287;55
8821;4704;19;9708;9271;80;20;6283;9271;80
4998;7730;17;6898;5136;46;12;3519;5136;46
5727;5316;13;5394;6467;54;15;4534;6467;54
4926;9765;17;6968;6578;65;12;3817;6578;65
7358;9283;16;7362;9247;85;22;6167;9247;85
8527;9826;10;1838;4020;41;7;1560;4020;41
3981;8046;19;8298;9569;79;18;6026;9569;79
9855;1351;12;4707;4351;40;10;2741;4351;40
877;2807;13;4292;5838;53;12;3724;5838;53
4945;1956;19;9727;9697;79;19;6310;9697;79
6987;1757;12;4415;4228;40;8;2195;4228;40
4536;5993;16;6434;5325;49;13;3878;5325;49
7346;5909;1;130;950;10;0;95;950;10
9098;3614;7;2282;2872;30;4;1150;2872;30
3033;4886;16;6203;6783;67;12;3694;6783;67
4640;9209;16;5356;7145;75;14;4550;7145;75
4877;4081;14;5162;4302;38;7;2067;4302;38
3945;9007;11;4095;5301;42;10;2912;5301;42
9113;6972;2;681;1569;16;2;337;1569;16
589;522;17;7504;7150;62;18;5546;7150;62
7777;1353;6;2294;2887;27;5;1153;2887;27
