source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length;
7611;5959;118;5893;7292;67;93;5072;7292;67
5024;9036;40;3262;5711;52;56;2686;5711;52
1569;5469;72;7600;7680;66;78;6227;5711;52
6946;4726;25;3128;4360;38;47;2165;5711;52
9083;3706;39;6392;8426;72;42;5560;5711;52
8743;8774;37;7973;8903;79;30;5651;5711;52
190;2756;25;1020;2208;20;5;700;5711;52
245;2721;33;7829;8948;50;21;3994;5711;52
8293;1964;34;8974;10042;85;29;6402;5711;52
747;7460;15;2699;4306;37;14;1663;5711;52
