source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;66;5893;7292;67;37;5072;7292;67
5024;9036;21;3262;5711;52;23;2686;5711;52
1569;5469;31;7600;7680;66;25;6227;7680;66
3363;7911;1;199;987;10;2;122;987;10
6946;4726;14;3128;4360;38;16;2165;4360;38
9083;3706;26;6392;8426;72;54;5560;8426;72
8743;8774;15;7973;8903;79;18;5651;8903;79
190;2756;2;1020;2208;20;3;700;2208;20
245;2721;17;7829;8948;50;18;3994;8948;50
8293;1964;15;8974;10042;85;16;6402;10042;85
747;7460;6;2699;4306;37;4;1663;4306;37
5319;3339;6;2534;3352;31;4;1583;3352;31
5336;8974;2;1141;3713;16;3;918;3713;19
9332;7544;10;5510;7409;66;13;4457;7409;66
8489;2014;16;8998;8951;75;19;6739;8951;75
1287;7167;2;693;1611;17;3;353;1611;17
9440;7626;14;6001;5405;48;12;4122;5405;49
1887;7245;8;4409;6138;54;11;3684;6138;54
1904;9033;6;3136;4973;47;7;2336;4973;47
7511;5946;21;7797;5641;52;18;3008;5641;52
3013;2078;0;128;652;8;1;61;652;8
4432;8739;4;1920;4201;43;6;1658;4201;43
2129;4673;1;281;1015;12;0;167;1015;12
3136;6818;11;6341;4738;43;10;3075;4738;43
4896;2427;5;2654;5044;53;7;2182;5044;53
8660;4125;14;9199;9394;86;18;6315;9394;86
5309;1503;16;6782;7575;64;26;5685;7575;64
7857;5384;12;5875;6924;65;15;4620;6924;65
1517;8176;16;9726;12235;112;26;7556;12235;112
1208;7160;17;7906;6984;66;16;4947;6984;66
5097;6722;12;6969;7327;68;15;5028;7327;68
888;806;14;7615;6980;67;18;5964;6980;67
9370;609;2;829;1722;18;2;427;1722;18
9038;6027;13;6156;6017;55;13;4379;6017;55
8173;3960;8;2845;3172;31;5;1406;3172;31
4199;6990;18;8452;9693;94;19;6711;9693;94
742;2895;14;7846;9510;86;21;6235;9510;86
8358;6407;3;547;1388;11;2;250;1388;11
5568;9476;15;7132;6221;55;18;4908;6221;55
224;351;12;6497;5143;44;13;3495;5143;44
6386;3108;7;3483;3744;33;6;1626;3744;33
132;1863;13;5168;5939;53;17;3944;5939;53
4446;6614;4;989;2009;17;2;542;2009;17
1129;3409;14;5515;5903;50;17;4546;5903;50
3587;1429;20;8765;9935;90;23;7157;9935;90
6080;7022;2;254;1354;15;2;189;1354;15
3090;9736;18;6523;8758;72;18;5752;8758;72
4777;6549;12;4536;5422;47;17;3132;5422;47
1901;6016;12;6368;7348;66;20;4866;7348;66
193;3821;3;1851;2729;31;5;1088;2729;31
9643;7677;11;4635;4844;43;9;2306;4844;43
8632;567;11;5129;5164;47;15;3771;5164;47
9097;5517;2;778;1641;15;1;362;1641;15
8481;8619;13;7601;8621;81;18;5838;8621;81
90;7970;6;3104;3352;31;5;1533;3352;31
8210;3566;16;9119;6155;65;13;3963;6155;65
2927;4559;5;2011;3883;39;8;1828;3883;39
2811;2317;12;6056;6050;56;13;4160;6050;56
3842;79;17;8739;9397;82;24;6905;9397;82
7524;1560;4;532;1346;13;1;295;1346;13
6876;3618;17;9876;12451;113;21;7522;12451;113
6863;9566;14;5991;4619;37;9;2420;4619;37
9415;5604;1;144;921;8;0;89;921;8
5613;9360;8;3782;3813;30;5;1651;3813;30
7037;9420;4;984;2897;27;3;804;2897;27
2717;3061;6;2822;3207;32;5;1512;3207;32
8319;3278;12;5785;6446;54;15;4367;6446;54
2062;3466;14;5512;6399;60;16;4658;6399;60
4994;3277;14;8786;8579;88;19;6776;8579;88
2149;4707;5;2358;3408;36;6;1465;3408;36
5059;8945;14;5974;5294;49;16;3130;5294;49
410;3811;6;1384;2225;24;3;726;2225;24
8139;7328;12;6624;5716;56;12;4135;5716;56
3181;1332;13;6871;7093;65;13;4389;7093;65
8078;5453;11;6246;6648;64;11;3613;6648;64
310;2115;4;1984;2696;26;3;997;2696;26
1406;2762;2;698;1590;15;2;349;1590;15
1770;4571;7;4017;5372;51;10;3474;5372;51
4060;970;6;2504;2988;33;3;1209;2988;33
9753;1788;9;4742;5562;49;9;2816;5562;49
1822;3800;12;6493;7170;57;12;4327;7170;57
8565;9560;11;6220;7099;56;12;4319;7099;56
6508;2462;6;1988;3418;34;4;1395;3418;34
557;9066;8;4535;5487;54;11;3542;5487;54
2805;7363;15;7983;8642;70;20;6647;8642;70
151;4579;9;4619;7156;66;11;4020;7156;66
846;5731;10;5337;4384;48;9;2640;4384;48
5228;178;8;3840;3805;31;6;2062;3805;31
1002;7868;3;1394;2489;22;4;907;2489;22
7500;7695;7;2819;4415;41;5;1937;4415;41
4598;4899;12;7706;6360;58;12;3639;6360;58
2803;5877;14;9491;7912;75;17;6080;7912;75
8411;1025;12;6995;7377;67;14;4547;7377;63
3604;2234;9;4944;5466;53;10;3455;5466;53
3270;6798;8;3496;3990;38;9;2239;3990;38
3905;4572;11;6053;7168;63;16;5078;7168;63
4164;4312;7;2357;3953;38;8;1622;3953;38
3821;1593;0;23;230;4;0;14;230;4
8055;4544;15;9635;7358;66;15;5001;7358;66
2600;2443;10;5647;6337;52;13;4901;6337;52
6070;545;15;9371;9701;86;19;7145;9701;86
5162;1822;11;5677;5127;51;9;2811;5127;51
9680;1726;16;9578;9433;83;17;6574;9433;83
9099;3743;15;8989;7486;73;15;5307;7486;73
4417;198;2;951;1968;17;1;541;1968;17
7278;6243;4;1258;2103;24;2;628;2103;24
3069;1207;1;606;1440;14;2;298;1440;14
7150;6562;13;6935;7214;71;16;5661;7214;71
7289;6684;9;4203;4768;41;11;3160;4768;41
113;1694;16;7554;5362;48;11;3767;5362;48
7129;6484;1;152;739;8;1;94;739;8
9689;2980;4;1970;2669;32;5;717;2669;32
6052;3185;8;3663;5183;54;8;2708;5183;54
4617;8893;12;6986;5746;50;11;3681;5746;50
7635;7817;14;9773;11334;99;19;7420;11334;99
997;3073;2;555;1558;17;2;363;1558;17
537;9261;13;6345;4771;35;7;2353;4771;34
7698;2105;11;6613;8698;44;10;3896;8698;44
2845;6612;3;745;2031;26;2;489;2031;26
9068;927;14;7960;5366;56;7;2861;5366;56
2306;9427;13;7910;6736;61;15;5323;6736;61
2166;2724;1;650;1495;16;1;341;1495;16
8311;235;1;1172;3666;35;4;1020;3666;35
220;1806;4;1466;2295;24;3;779;2295;24
186;5359;16;5180;4836;43;13;3347;4836;43
1813;236;8;2562;3330;29;5;1566;3330;29
9944;7216;10;4667;5284;49;9;3466;5284;49
6165;9880;4;1951;2655;25;4;1038;2655;25
5536;7383;8;4349;4771;44;10;3220;4771;44
8814;5128;15;8290;8446;78;15;5930;8446;78
1957;8606;13;7659;6013;52;9;3308;6013;52
6310;9664;9;4567;5382;50;9;3177;5382;50
9538;5739;14;8561;8796;76;16;5495;8796;76
8563;5047;3;1618;2416;23;2;783;2416;23
7815;5674;16;8659;9482;90;15;5713;9482;90
8835;8964;17;8984;8203;79;17;6200;8203;79
4514;6374;2;443;1302;16;1;256;1302;16
6697;2118;3;1026;2271;22;2;659;2271;22
6041;4932;5;1958;2651;22;4;1021;2651;22
5585;8157;19;6335;8485;76;18;5471;8485;76
8084;8557;9;4979;6155;52;11;4132;6155;52
997;6872;10;4970;6850;54;12;4387;6850;54
5128;9237;15;8619;8943;91;19;6892;8943;91
2024;892;9;4768;4325;40;7;2573;4325;40
1757;9100;12;5545;6506;59;13;4571;6506;59
6895;285;15;8635;8083;77;18;6650;8083;77
4433;1041;9;4661;4690;41;10;3106;4690;41
2848;4348;9;4140;5119;40;10;3058;5119;40
4213;238;2;701;1624;16;0;296;1624;16
7042;5037;12;6141;5544;50;17;4358;5544;50
1749;4276;5;1437;3140;32;3;995;3140;29
6324;2612;7;2615;3132;26;5;1459;3132;26
245;4868;2;1005;2335;23;3;689;2335;23
2681;3180;10;5421;6919;62;13;4730;6919;62
5703;3430;15;9132;9775;95;18;6791;9775;95
1537;932;6;2651;4816;50;7;2354;4816;50
9801;2298;16;9133;8936;73;18;7043;8936;74
9028;9558;6;2814;4213;40;5;1600;4213;40
8156;5529;6;2371;4813;43;5;2039;4813;43
7639;8980;11;5515;5757;55;11;3721;5757;55
3199;1862;10;5554;7344;64;14;4704;7344;64
8624;3713;14;4200;4314;42;11;1916;4314;42
6345;7239;23;7536;6862;67;20;5297;6862;67
6998;8186;5;1916;3967;35;5;1708;3967;35
2422;6986;1;399;1183;13;2;193;1183;13
994;7407;11;6882;7869;74;15;5206;7869;74
441;2982;7;3323;5098;11;12;2024;5098;12
946;3906;15;2632;3271;29;6;1532;3271;29
3759;5551;13;7472;8478;78;14;5795;8478;78
1804;7387;1;985;2443;21;3;713;2443;21
9764;1413;5;1953;3086;32;3;1263;3086;32
8976;2517;11;5914;5572;49;12;3978;5572;49
1679;3994;11;3672;3880;38;4;1661;3880;38
6582;3017;15;8731;9746;92;17;6243;9746;92
5096;4926;5;2235;2829;23;7;1216;2829;23
5830;9365;10;3401;3691;31;6;1645;3691;31
2635;4729;2;1367;3227;29;4;1136;3227;29
3382;7192;12;6116;6924;60;13;5230;6924;60
6900;2660;10;4834;5743;54;12;4254;5743;54
9054;2380;14;9454;7658;77;16;5608;7658;73
8985;6580;11;6220;6467;55;14;5049;6467;55
935;5313;14;7044;5099;39;8;2655;5099;39
6215;5700;13;7153;7329;67;13;5213;7329;67
3458;3026;0;187;1111;14;1;134;1111;14
501;734;6;3293;4618;45;7;2333;4618;45
1174;1398;3;1612;2411;28;4;783;2411;28
2933;4917;13;8558;7516;68;17;6281;7516;68
8033;3782;12;5961;6874;60;16;5072;6874;60
6537;7650;14;8042;9812;93;18;6797;9812;93
9599;4662;14;8053;8924;79;18;6718;8924;79
34;6474;9;4136;3919;36;8;2214;3919;36
6136;7393;12;5931;5488;48;13;4379;5488;48
8947;2232;13;8666;7998;72;12;4718;7998;72
7204;5829;13;7311;9043;81;14;4622;9043;81
7060;1868;2;661;1531;10;0;314;1531;10
1978;9736;1;324;1080;11;1;167;1080;11
4482;6671;14;7807;9807;85;17;6610;9807;85
4134;8326;1;748;2077;20;2;437;2077;20
1412;9538;1;324;1074;11;0;168;1074;11
4568;584;15;9955;10038;88;20;6948;10038;88
5481;8322;14;7201;7685;69;15;5484;7685;69
9881;2035;14;7721;7640;66;16;5891;7640;66
1357;106;9;4321;6399;56;10;3667;6399;56
4441;282;0;237;960;10;1;130;960;10
2363;2726;3;1596;3569;31;5;1414;3569;31
9940;1376;13;8795;7121;66;13;4598;7121;66
5355;8159;14;7904;8838;85;17;6705;8838;85
3219;6862;3;1964;3425;33;5;1579;3425;33
4828;6071;13;7529;9051;81;18;6635;9051;81
9982;9933;1;656;2075;18;1;426;2075;18
9565;5955;11;5424;7038;62;13;4684;7038;62
2719;8433;6;2701;3818;38;4;1309;3818;38
7270;2640;5;2546;3178;27;5;1423;3178;27
3634;4563;15;7922;9627;89;20;6729;9627;89
8100;9571;2;884;1785;19;1;494;1785;19
1416;9129;13;7108;6469;59;13;4318;6469;59
7505;1393;6;2475;3535;34;3;1338;3535;34
2299;3955;13;6766;7839;72;13;4675;7839;72
8097;3608;5;2933;4157;38;7;2020;4157;38
6652;629;15;9998;10526;97;18;6893;10526;97
2168;376;1;814;1939;22;2;414;1939;22
2568;7788;14;8859;7734;69;17;6471;7734;69
8234;8770;11;5463;4513;47;9;2905;4513;47
649;9407;16;9481;9406;86;19;6968;9406;86
4875;9707;11;5011;6370;54;16;4273;6370;54
57;5652;12;6416;4867;47;8;2429;4867;47
8148;1180;9;5090;4569;38;10;2932;4569;38
465;2267;16;6219;8104;73;17;3958;8104;73
4055;3978;11;5335;4739;41;11;3139;4739;41
5535;3451;5;2417;3462;37;4;1651;3462;37
5018;9661;13;6712;5634;55;13;4306;5634;55
9414;4183;11;7135;6183;60;10;3019;6183;60
239;3199;4;1670;2438;20;3;810;2438;20
2255;6205;0;122;770;8;1;87;770;8
2356;7811;5;1789;3858;40;5;1608;3858;40
2574;1547;14;8647;9363;78;19;6775;9363;78
8038;6191;1;931;2424;20;3;686;2424;20
6623;7294;9;3453;5714;56;9;3045;5714;56
4433;359;3;999;1907;20;2;555;1907;20
5183;7048;1;292;1089;8;2;166;1089;8
8610;3895;1;989;1922;17;1;515;1922;17
6391;5645;8;3351;3781;34;9;2121;3781;34
221;4685;10;5072;6627;61;10;3271;6627;61
147;5915;5;2700;4064;38;7;1984;4064;38
2746;2417;2;732;1961;23;2;597;1961;23
6481;4867;13;7544;7301;73;17;6018;7301;73
6410;9250;14;7702;6268;55;13;4558;6268;55
6421;2744;6;3146;4495;40;8;2699;4495;40
2776;6863;1;610;1504;15;1;351;1504;15
5834;7683;2;1036;1859;19;2;490;1859;19
1211;4142;12;7623;6417;55;14;4907;6417;55
7058;6848;7;3539;5500;57;8;2956;5500;57
4584;3820;7;3919;3789;34;5;1627;3789;34
318;7401;12;7645;7259;74;15;5399;7259;74
5732;306;7;3104;5129;49;8;2708;5129;49
889;8637;14;6563;5270;42;12;3068;5270;42
7686;4176;10;4962;5307;46;12;4121;5307;46
8142;5821;8;3872;5212;50;9;2859;5212;50
8763;8841;0;248;1159;12;1;178;1159;12
187;8547;0;93;587;4;0;48;587;4
1156;6586;10;5695;7478;65;15;5062;7478;65
8717;9855;3;1528;2323;21;1;750;2323;21
9850;2568;2;552;1369;16;1;273;1369;16
4858;5903;2;701;1555;16;0;344;1555;16
4209;7941;14;7949;8680;81;12;4302;8680;81
5998;9850;14;8058;7202;58;14;5407;7202;58
9690;4959;7;3121;3536;30;5;1427;3536;30
7245;3097;11;6016;4711;49;7;2633;4711;49
2002;9701;11;5390;7413;64;12;4792;7413;64
5128;6754;13;8335;8737;74;13;4623;8737;74
3608;7639;4;1923;2615;24;4;948;2615;24
7530;2979;11;5812;7056;70;18;5039;7056;70
9772;2009;13;7433;5930;50;11;4144;5930;50
866;6568;2;1111;1979;17;3;562;1979;17
4035;8899;16;9755;9717;100;18;6614;9717;100
3723;9769;10;5048;5544;49;13;4132;5544;49
8919;5832;4;2238;2834;26;6;1116;2834;26
8870;1234;14;9285;8500;83;16;6565;8500;83
2171;6513;14;9734;8382;72;14;5071;8382;72
6409;9744;13;7531;7092;68;17;5175;7092;68
5116;9654;4;1466;2422;22;4;883;2422;22
4769;5525;9;4004;3920;39;5;1517;3920;39
643;5048;3;1218;2429;24;3;803;2429;24
1363;6489;11;5554;7455;68;13;3701;7455;68
424;9614;5;2143;3466;35;6;1626;3466;35
2865;253;7;3028;3299;28;5;1469;3299;28
2064;5177;13;7326;5780;47;11;4153;5780;47
