source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;81;5893;7292;67;48;5071;7292;67
5024;9036;22;3262;5711;52;33;2685;5711;52
1569;5469;34;7600;7680;66;28;6226;7680;66
3363;7911;3;199;987;10;3;121;987;10
6946;4726;18;3128;4360;38;18;2164;4360;38
9083;3706;24;6392;8426;72;39;5559;8426;72
8743;8774;16;7973;8903;79;16;5650;8903;79
190;2756;2;1020;2208;20;1;699;2208;20
245;2721;16;7829;8948;50;11;3993;8948;50
8293;1964;16;8974;10042;85;19;6401;10042;85
747;7460;7;2699;4306;37;5;1662;4306;37
5319;3339;7;2534;3352;31;5;1582;3352;31
5336;8974;2;1141;3713;16;3;917;3713;19
9332;7544;15;5510;7409;66;13;4456;7409;66
8489;2014;17;8998;8951;75;18;6738;8951;75
1287;7167;2;693;1611;17;1;352;1611;17
9440;7626;13;6001;5405;48;14;4121;5405;49
1887;7245;11;4409;6138;54;11;3683;6138;54
1904;9033;8;3136;4973;47;17;2335;4973;47
7511;5946;16;7797;5641;52;11;3007;5641;52
3013;2078;0;128;652;8;1;60;652;8
4432;8739;5;1920;4201;43;6;1657;4201;43
2129;4673;0;281;1015;12;0;166;1015;12
3136;6818;17;6341;4738;43;9;3074;4738;43
4896;2427;7;2654;5044;53;7;2181;5044;53
8660;4125;16;9199;9394;86;21;6314;9394;86
5309;1503;14;6782;7575;64;17;5684;7575;64
7857;5384;14;5875;6924;65;14;4619;6924;65
1517;8176;18;9726;12235;112;30;7555;12235;112
1208;7160;25;7906;6984;66;14;4946;6984;66
5097;6722;15;6969;7327;68;17;5027;7327;68
888;806;17;7615;6980;67;19;5963;6980;67
9370;609;2;829;1722;18;2;426;1722;18
9038;6027;13;6156;6017;55;16;4378;6017;55
8173;3960;8;2845;3172;31;6;1405;3172;31
4199;6990;17;8452;9693;94;20;6710;9693;94
742;2895;16;7846;9510;86;21;6234;9510;86
8358;6407;2;547;1388;11;3;249;1388;11
5568;9476;26;7132;6221;55;24;4907;6221;55
224;351;18;6497;5143;44;12;3494;5143;44
6386;3108;10;3483;3744;33;7;1625;3744;33
132;1863;17;5168;5939;53;15;3943;5939;53
4446;6614;4;989;2009;17;4;541;2009;17
1129;3409;14;5515;5903;50;17;4545;5903;50
3587;1429;21;8765;9935;90;22;7156;9935;90
6080;7022;0;254;1354;15;2;188;1354;15
3090;9736;16;6523;8758;72;24;5751;8758;72
4777;6549;13;4536;5422;47;11;3131;5422;47
1901;6016;15;6368;7348;66;16;4865;7348;66
193;3821;5;1851;2729;31;3;1087;2729;31
9643;7677;11;4635;4844;43;7;2305;4844;43
8632;567;12;5129;5164;47;16;3770;5164;47
9097;5517;4;778;1641;15;1;361;1641;15
8481;8619;16;7601;8621;81;19;5837;8621;81
90;7970;9;3104;3352;31;5;1532;3352;31
8210;3566;24;9119;6155;65;12;3962;6155;65
2927;4559;9;2011;3883;39;6;1827;3883;39
2811;2317;14;6056;6050;56;14;4159;6050;56
3842;79;20;8739;9397;82;21;6904;9397;82
7524;1560;2;532;1346;13;2;294;1346;13
