source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length;
7611;5959;114;5893;7292;67;87;5072;7292;67
5024;9036;35;3262;5711;52;37;2686;5711;52
1569;5469;61;7600;7680;66;73;6227;5711;52
6946;4726;34;3128;4360;38;62;2165;5711;52
9083;3706;42;6392;8426;72;45;5560;5711;52
8743;8774;61;7973;8903;79;42;5651;5711;52
190;2756;5;1020;2208;20;6;700;5711;52
245;2721;36;7829;8948;50;26;3994;5711;52
8293;1964;38;8974;10042;85;38;6402;5711;52
747;7460;14;2699;4306;37;10;1663;5711;52
