n°	source	destination	distance	nb itérations simple	nb itérations bidir	temps simple (ms)	temps bidir (ms)
121	2306	9427	6736	7911	5322	57.4691	41.6596
122	2166	2724	1495	650	340	4.7145	3.1601
123	8311	235	3666	1172	1020	10.729	8.4621
124	220	1806	2295	1466	778	12.007	7.0984
125	186	5359	4836	5180	3346	37.9095	27.6272
126	1813	236	3330	2561	1567	19.5908	12.8052
127	9944	7216	5284	4667	3465	34.1635	29.6053
128	6165	9880	2655	1951	1035	14.9665	8.8825
129	5536	7383	4771	4351	3219	32.0498	25.951
130	8814	5128	8446	8289	5933	64.9395	47.8771
131	1957	8606	6013	7660	3307	54.739	26.3889
132	6310	9664	5382	4568	3178	34.97	25.9455
133	9538	5739	8796	8561	5494	60.7792	46.5415
134	8563	5047	2416	1618	782	12.8875	6.7367
135	7815	5674	9482	8659	5712	80.2203	48.8035
136	8835	8964	8203	8985	6199	64.1052	49.18
137	4514	6374	1302	443	255	3.388	2.4815
138	6697	2118	2271	1026	658	8.0457	5.8075
139	6041	4932	2651	1959	1020	15.119	8.6868
140	5585	8157	8485	6336	5474	47.0286	43.0608
141	8084	8557	6155	4981	4131	38.4239	33.0426
142	997	6872	6850	4971	4386	36.0477	36.3302
143	5128	9237	8943	8619	6891	61.121	54.4676
144	2024	892	4325	4768	2574	40.9025	22.3487
145	1757	9100	6506	5546	4568	40.7808	39.0623
146	6895	285	8083	8635	6651	62.4354	53.2556
147	4433	1041	4690	4659	3103	34.6412	28.3705
148	2848	4348	5119	4140	3055	32.49	24.3889
149	4213	238	1624	700	295	5.1176	2.7626
150	7042	5037	5544	6141	4357	49.3152	35.4076
151	1749	4276	3140	1437	994	11.1862	8.9279
152	6324	2612	3132	2615	1460	19.9826	12.3083
153	245	4868	2335	1005	688	9.0354	5.8861
154	2681	3180	6919	5422	4729	39.217	37.7704
155	5703	3430	9775	9132	6790	65.0499	54.1108
156	1537	932	4816	2651	2353	19.7357	19.2769
157	9801	2298	8936	9131	7040	65.0888	57.2487
158	9028	9558	4213	2815	1597	22.2079	13.1358
159	8156	5529	4813	2371	2038	17.9312	16.9674
160	7639	8980	5757	5516	3720	41.8903	29.5855
161	3199	1862	7344	5553	4703	40.8557	37.981
162	8624	3713	4314	4199	1915	30.8181	15.3039
163	6345	7239	6862	7536	5296	55.7911	41.1583
164	6998	8186	3967	1916	1707	15.8584	14.2801
165	2422	6986	1183	399	192	3.6471	2.4052
166	994	7407	7869	6882	5203	50.6415	42.166
167	441	2982	5098	3323	2023	26.4138	17.6041
168	946	3906	3271	2632	1533	20.2696	14.4731
169	3759	5551	8478	7472	5794	54.0728	46.3688
170	1804	7387	2443	985	712	7.1243	6.1828
171	9764	1413	3086	1953	1262	14.9543	10.8903
172	8976	2517	5572	5914	3977	43.8344	33.024
173	1679	3994	3880	3671	1660	28.9845	13.9884
174	6582	3017	9746	8731	6242	62.7174	48.3131
175	5096	4926	2829	2236	1215	18.4473	10.3884
176	5830	9365	3691	3401	1642	25.8089	13.8248
177	2635	4729	3227	1367	1135	10.4054	9.8083
178	3382	7192	6924	6116	5229	45.6395	41.7723
179	6900	2660	5743	4834	4253	41.2175	34.1638
180	9054	2380	7658	9454	5607	67.0007	43.6937
181	8985	6580	6467	6221	5048	46.8629	39.1151
182	935	5313	5099	7043	2656	56.8719	21.245
183	6215	5700	7329	7153	5212	54.2854	44.7515
184	3458	3026	1111	187	133	1.3741	1.4204
185	501	734	4618	3292	2332	24.9493	20.9422
186	1174	1398	2411	1612	782	12.677	6.5726
187	2933	4917	7516	8558	6280	70.694	50.4539
188	8033	3782	6874	5959	5071	42.8569	40.9963
189	6537	7650	9812	8042	6796	59.0421	52.2018
190	9599	4662	8924	8053	6717	58.3607	51.8186
191	34	6474	3919	4136	2213	32.8204	18.2104
192	6136	7393	5488	5931	4378	43.6311	36.5768
193	8947	2232	7998	8666	4717	61.4646	38.6421
194	7204	5829	9043	7311	4621	52.4683	37.317
195	7060	1868	1531	661	313	5.0588	3.6332
196	1978	9736	1080	324	166	3.0302	1.8026
197	4482	6671	9807	7807	6609	58.6578	50.7953
198	4134	8326	2077	748	436	5.7852	4.1944
199	1412	9538	1074	324	167	3.4594	1.8354
200	4568	584	10038	9954	6947	72.5079	55.636
201	5481	8322	7685	7201	5483	51.5883	44.2806
