source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;123;5893;7292;67;74;5071;7292;67
5024;9036;38;3262;5711;52;57;2685;5711;52
1569;5469;88;7600;7680;66;75;6226;7680;66
3363;7911;5;199;987;10;6;121;987;10
6946;4726;36;3128;4360;38;27;2164;4360;38
9083;3706;45;6392;8426;72;49;5559;8426;72
8743;8774;47;7973;8903;79;44;5650;8903;79
190;2756;8;1020;2208;20;7;699;2208;20
245;2721;39;7829;8948;50;29;3993;8948;50
8293;1964;42;8974;10042;85;44;6401;10042;85
747;7460;17;2699;4306;37;12;1662;4306;37
5319;3339;17;2534;3352;31;14;1582;3352;31
5336;8974;9;1141;3713;16;9;917;3713;19
9332;7544;31;5510;7409;66;37;4456;7409;66
8489;2014;42;8998;8951;75;41;6738;8951;75
1287;7167;4;693;1611;17;4;352;1611;17
9440;7626;30;6001;5405;48;28;4121;5405;49
1887;7245;24;4409;6138;54;25;3683;6138;54
1904;9033;19;3136;4973;47;18;2335;4973;47
7511;5946;41;7797;5641;52;22;3007;5641;52
3013;2078;1;128;652;8;1;60;652;8
4432;8739;14;1920;4201;43;12;1657;4201;43
2129;4673;3;281;1015;12;2;166;1015;12
3136;6818;36;6341;4738;43;25;3074;4738;43
4896;2427;22;2654;5044;53;18;2181;5044;53
8660;4125;43;9199;9394;86;41;6314;9394;86
5309;1503;33;6782;7575;64;37;5684;7575;64
7857;5384;28;5875;6924;65;29;4619;6924;65
1517;8176;36;9726;12235;112;43;7555;12235;112
1208;7160;37;7906;6984;66;34;4946;6984;66
5097;6722;34;6969;7327;68;29;5027;7327;68
888;806;34;7615;6980;67;39;5963;6980;67
9370;609;8;829;1722;18;6;426;1722;18
9038;6027;32;6156;6017;55;32;4378;6017;55
8173;3960;21;2845;3172;31;13;1405;3172;31
4199;6990;43;8452;9693;94;47;6710;9693;94
742;2895;35;7846;9510;86;38;6234;9510;86
8358;6407;4;547;1388;11;4;249;1388;11
5568;9476;34;7132;6221;55;29;4907;6221;55
224;351;34;6497;5143;44;25;3494;5143;44
6386;3108;21;3483;3744;33;15;1625;3744;33
132;1863;41;5168;5939;53;32;3943;5939;53
4446;6614;9;989;2009;17;7;541;2009;17
1129;3409;34;5515;5903;50;34;4545;5903;50
3587;1429;45;8765;9935;90;77;7156;9935;90
6080;7022;2;254;1354;15;2;188;1354;15
3090;9736;36;6523;8758;72;39;5751;8758;72
4777;6549;30;4536;5422;47;21;3131;5422;47
1901;6016;32;6368;7348;66;46;4865;7348;66
193;3821;12;1851;2729;31;8;1087;2729;31
9643;7677;27;4635;4844;43;21;2305;4844;43
8632;567;32;5129;5164;47;30;3770;5164;47
9097;5517;5;778;1641;15;3;361;1641;15
8481;8619;35;7601;8621;81;40;5837;8621;81
90;7970;18;3104;3352;31;10;1532;3352;31
8210;3566;40;9119;6155;65;26;3962;6155;65
2927;4559;12;2011;3883;39;16;1827;3883;39
2811;2317;35;6056;6050;56;31;4159;6050;56
3842;79;41;8739;9397;82;44;6904;9397;82
7524;1560;5;532;1346;13;4;294;1346;13
6876;3618;43;9876;12451;113;50;7521;12451;113
6863;9566;33;5991;4619;37;16;2419;4619;37
9415;5604;2;144;921;8;8;88;921;8
5613;9360;23;3782;3813;30;11;1650;3813;30
7037;9420;6;984;2897;27;6;803;2897;27
2717;3061;17;2822;3207;32;12;1511;3207;32
8319;3278;29;5785;6446;54;27;4366;6446;54
2062;3466;28;5512;6399;60;29;4657;6399;60
4994;3277;35;8786;8579;88;39;6775;8579;88
2149;4707;13;2358;3408;36;10;1464;3408;36
5059;8945;30;5974;5294;49;18;3129;5294;49
410;3811;9;1384;2225;24;6;725;2225;24
8139;7328;29;6624;5716;56;29;4134;5716;56
3181;1332;31;6871;7093;65;27;4388;7093;65
8078;5453;29;6246;6648;64;23;3612;6648;64
310;2115;12;1984;2696;26;8;996;2696;26
