source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length;
3069;1207;2;606;1440;14;1;298;1440;14
7150;6562;14;6935;7214;71;18;5661;7214;71
7289;6684;9;4203;4768;41;11;3160;4768;41
113;1694;12;7554;5362;48;13;3767;5362;48
7129;6484;0;152;739;8;4;94;739;8
9689;2980;5;1970;2669;32;3;717;2669;32
6052;3185;8;3663;5183;54;8;2708;5183;54
4617;8893;15;6986;5746;50;13;3681;5746;50
7635;7817;15;9773;11334;99;22;7420;11334;99
997;3073;1;555;1558;17;3;363;1558;17
537;9261;12;6345;4771;35;8;2353;4771;34
7698;2105;15;6613;8698;44;17;3896;8698;44
2845;6612;1;745;2031;26;2;489;2031;26
9068;927;14;7960;5366;56;10;2861;5366;56
2306;9427;13;7910;6736;61;16;5323;6736;61
2166;2724;2;650;1495;16;2;341;1495;16
8311;235;3;1172;3666;35;3;1020;3666;35
220;1806;4;1466;2295;24;3;779;2295;24
186;5359;10;5180;4836;43;10;3347;4836;43
1813;236;6;2562;3330;29;5;1566;3330;29
9944;7216;10;4667;5284;49;12;3466;5284;49
6165;9880;6;1951;2655;25;4;1038;2655;25
5536;7383;9;4349;4771;44;11;3220;4771;44
8814;5128;14;8290;8446;78;17;5930;8446;78
1957;8606;13;7659;6013;52;11;3308;6013;52
6310;9664;9;4567;5382;50;10;3177;5382;50
9538;5739;16;8561;8796;76;19;5495;8796;76
8563;5047;3;1618;2416;23;2;783;2416;23
7815;5674;14;8659;9482;90;17;5713;9482;90
8835;8964;16;8984;8203;79;19;6200;8203;79
4514;6374;0;443;1302;16;2;256;1302;16
6697;2118;2;1026;2271;22;1;659;2271;22
6041;4932;4;1958;2651;22;5;1021;2651;22
5585;8157;11;6335;8485;76;20;5471;8485;76
8084;8557;9;4979;6155;52;14;4132;6155;52
997;6872;10;4970;6850;54;14;4387;6850;54
5128;9237;14;8619;8943;91;24;6892;8943;91
2024;892;10;4768;4325;40;9;2573;4325;40
1757;9100;10;5545;6506;59;14;4571;6506;59
6895;285;14;8635;8083;77;20;6650;8083;77
4433;1041;9;4661;4690;41;10;3106;4690;41
2848;4348;9;4140;5119;40;11;3058;5119;40
4213;238;1;701;1624;16;1;296;1624;16
7042;5037;11;6141;5544;50;16;4358;5544;50
1749;4276;3;1437;3140;32;3;995;3140;29
6324;2612;6;2615;3132;26;5;1459;3132;26
245;4868;3;1005;2335;23;3;689;2335;23
2681;3180;10;5421;6919;62;15;4730;6919;62
5703;3430;13;9132;9775;95;21;6791;9775;95
1537;932;6;2651;4816;50;8;2354;4816;50
9801;2298;13;9133;8936;73;21;7043;8936;74
9028;9558;7;2814;4213;40;5;1600;4213;40
8156;5529;5;2371;4813;43;7;2039;4813;43
7639;8980;10;5515;5757;55;11;3721;5757;55
3199;1862;11;5554;7344;64;15;4704;7344;64
8624;3713;9;4200;4314;42;6;1916;4314;42
6345;7239;13;7536;6862;67;19;5297;6862;67
6998;8186;5;1916;3967;35;5;1708;3967;35
2422;6986;2;399;1183;13;0;193;1183;13
994;7407;13;6882;7869;74;15;5206;7869;74
441;2982;7;3323;5098;11;6;2024;5098;12
946;3906;6;2632;3271;29;6;1532;3271;29
3759;5551;12;7472;8478;78;17;5795;8478;78
1804;7387;3;985;2443;21;2;713;2443;21
9764;1413;5;1953;3086;32;4;1263;3086;32
8976;2517;12;5914;5572;49;13;3978;5572;49
1679;3994;7;3672;3880;38;6;1661;3880;38
6582;3017;15;8731;9746;92;21;6243;9746;92
5096;4926;6;2235;2829;23;4;1216;2829;23
5830;9365;6;3401;3691;31;7;1645;3691;31
2635;4729;2;1367;3227;29;4;1136;3227;29
3382;7192;15;6116;6924;60;16;5230;6924;60
6900;2660;10;4834;5743;54;13;4254;5743;54
9054;2380;15;9454;7658;77;18;5608;7658;73
8985;6580;11;6220;6467;55;16;5049;6467;55
935;5313;12;7044;5099;39;9;2655;5099;39
6215;5700;13;7153;7329;67;17;5213;7329;67
3458;3026;0;187;1111;14;0;134;1111;14
501;734;6;3293;4618;45;9;2333;4618;45
1174;1398;3;1612;2411;28;3;783;2411;28
2933;4917;14;8558;7516;68;19;6281;7516;68
8033;3782;11;5961;6874;60;16;5072;6874;60
6537;7650;17;8042;9812;93;20;6797;9812;93
9599;4662;13;8053;8924;79;19;6718;8924;79
34;6474;8;4136;3919;36;8;2214;3919;36
6136;7393;10;5931;5488;48;15;4379;5488;48
8947;2232;15;8666;7998;72;14;4718;7998;72
7204;5829;13;7311;9043;81;15;4622;9043;81
7060;1868;2;661;1531;10;1;314;1531;10
1978;9736;1;324;1080;11;0;167;1080;11
4482;6671;13;7807;9807;85;20;6610;9807;85
4134;8326;2;748;2077;20;2;437;2077;20
1412;9538;0;324;1074;11;0;168;1074;11
4568;584;15;9955;10038;88;22;6948;10038;88
5481;8322;15;7201;7685;69;17;5484;7685;69
9881;2035;14;7721;7640;66;18;5891;7640;66
1357;106;8;4321;6399;56;12;3667;6399;56
4441;282;1;237;960;10;0;130;960;10
2363;2726;4;1596;3569;31;4;1414;3569;31
9940;1376;14;8795;7121;66;15;4598;7121;66
5355;8159;13;7904;8838;85;20;6705;8838;85
3219;6862;4;1964;3425;33;6;1579;3425;33
4828;6071;13;7529;9051;81;19;6635;9051;81
9982;9933;2;656;2075;18;2;426;2075;18
9565;5955;11;5424;7038;62;14;4684;7038;62
2719;8433;8;2701;3818;38;7;1309;3818;38
7270;2640;7;2546;3178;27;7;1423;3178;27
3634;4563;14;7922;9627;89;20;6729;9627;89
8100;9571;2;884;1785;19;1;494;1785;19
1416;9129;13;7108;6469;59;15;4318;6469;59
7505;1393;5;2475;3535;34;5;1338;3535;34
2299;3955;12;6766;7839;72;18;4675;7839;72
8097;3608;9;2933;4157;38;6;2020;4157;38
6652;629;16;9998;10526;97;21;6893;10526;97
2168;376;1;814;1939;22;2;414;1939;22
2568;7788;14;8859;7734;69;20;6471;7734;69
8234;8770;11;5463;4513;47;9;2905;4513;47
649;9407;15;9481;9406;86;24;6968;9406;86
4875;9707;9;5011;6370;54;14;4273;6370;54
57;5652;11;6416;4867;47;7;2429;4867;47
8148;1180;11;5090;4569;38;9;2932;4569;38
465;2267;12;6219;8104;73;13;3958;8104;73
4055;3978;10;5335;4739;41;10;3139;4739;41
5535;3451;6;2417;3462;37;5;1651;3462;37
5018;9661;11;6712;5634;55;15;4306;5634;55
9414;4183;12;7135;6183;60;11;3019;6183;60
239;3199;3;1670;2438;20;3;810;2438;20
2255;6205;0;122;770;8;1;87;770;8
2356;7811;3;1789;3858;40;6;1608;3858;40
2574;1547;14;8647;9363;78;20;6775;9363;78
8038;6191;2;931;2424;20;8;686;2424;20
6623;7294;8;3453;5714;56;10;3045;5714;56
4433;359;2;999;1907;20;2;555;1907;20
5183;7048;1;292;1089;8;0;166;1089;8
8610;3895;2;989;1922;17;2;515;1922;17
6391;5645;7;3351;3781;34;7;2121;3781;34
221;4685;9;5072;6627;61;10;3271;6627;61
147;5915;5;2700;4064;38;6;1984;4064;38
2746;2417;2;732;1961;23;3;597;1961;23
6481;4867;13;7544;7301;73;19;6018;7301;73
6410;9250;13;7702;6268;55;14;4558;6268;55
6421;2744;7;3146;4495;40;9;2699;4495;40
2776;6863;2;610;1504;15;1;351;1504;15
5834;7683;1;1036;1859;19;3;490;1859;19
1211;4142;12;7623;6417;55;16;4907;6417;55
7058;6848;7;3539;5500;57;10;2956;5500;57
4584;3820;9;3919;3789;34;5;1627;3789;34
318;7401;16;7645;7259;74;17;5399;7259;74
5732;306;6;3104;5129;49;9;2708;5129;49
889;8637;12;6563;5270;42;10;3068;5270;42
7686;4176;10;4962;5307;46;14;4121;5307;46
8142;5821;7;3872;5212;50;10;2859;5212;50
8763;8841;1;248;1159;12;0;178;1159;12
187;8547;1;93;587;4;0;48;587;4
1156;6586;11;5695;7478;65;16;5062;7478;65
8717;9855;4;1528;2323;21;3;750;2323;21
9850;2568;1;552;1369;16;1;273;1369;16
4858;5903;1;701;1555;16;1;344;1555;16
4209;7941;14;7949;8680;81;14;4302;8680;81
5998;9850;13;8058;7202;58;17;5407;7202;58
9690;4959;7;3121;3536;30;5;1427;3536;30
7245;3097;11;6016;4711;49;10;2633;4711;49
2002;9701;12;5390;7413;64;15;4792;7413;64
5128;6754;14;8335;8737;74;14;4623;8737;74
3608;7639;5;1923;2615;24;3;948;2615;24
7530;2979;10;5812;7056;70;17;5039;7056;70
9772;2009;13;7433;5930;50;13;4144;5930;50
866;6568;3;1111;1979;17;2;562;1979;17
4035;8899;14;9755;9717;100;20;6614;9717;100
3723;9769;10;5048;5544;49;13;4132;5544;49
8919;5832;6;2238;2834;26;4;1116;2834;26
8870;1234;14;9285;8500;83;18;6565;8500;83
2171;6513;15;9734;8382;72;18;5071;8382;72
6409;9744;14;7531;7092;68;17;5175;7092;68
5116;9654;2;1466;2422;22;4;883;2422;22
4769;5525;8;4004;3920;39;4;1517;3920;39
643;5048;3;1218;2429;24;2;803;2429;24
1363;6489;11;5554;7455;68;13;3701;7455;68
424;9614;8;2143;3466;35;6;1626;3466;35
2865;253;7;3028;3299;28;4;1469;3299;28
2064;5177;13;7326;5780;47;14;4153;5780;47
5032;4092;13;7926;8236;74;16;5669;8236;74
8374;8806;7;2868;5429;52;9;2573;5429;52
2821;177;13;6982;5321;45;7;2314;5321;45
1784;4816;14;9787;10170;99;19;6297;10170;99
3960;7423;15;7346;5859;55;15;4127;5859;55
9736;5040;14;8126;6557;58;17;5369;6557;58
8768;1329;12;7075;6766;63;17;5249;6766;63
9123;5410;11;5309;6477;60;13;4089;6477;60
8998;7663;9;4411;5755;56;11;3654;5755;56
6591;3813;8;3533;3612;33;6;1479;3612;33
182;5865;14;7866;7103;64;19;6127;7103;64
9325;8350;10;4872;5183;52;8;2865;5183;52
8088;67;13;8502;9609;89;20;5235;9609;89
1038;2681;14;8119;9582;79;21;5591;9582;79
6637;3022;14;7741;9015;84;20;6530;9015;84
369;2414;13;8678;8861;86;18;6326;8861;86
7733;6798;3;1186;2135;19;4;699;2135;19
4890;908;11;5932;7216;63;14;4585;7216;63
1565;877;12;6713;5946;59;12;3856;5946;59
8575;1781;10;5783;7615;70;17;5206;7615;70
4885;3259;10;5558;7152;70;15;4814;7152;70
4124;7669;13;7877;7640;65;17;5403;7640;65
5648;3232;13;9177;9658;86;25;6989;9658;86
3126;927;11;5774;6296;54;12;3580;6296;54
1893;3792;12;8139;8565;67;19;5895;8565;67
