source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
5703;3430;1;0;;23;4712;23;3502
1537;932;1;0;;11;4712;8;3502
9801;2298;1;0;;23;4712;24;3502
9028;9558;1;0;;9;4712;7;3502
8156;5529;1;0;;8;4712;8;3502
7639;8980;1;0;;17;4712;14;3502
3199;1862;1;0;;18;4712;18;3502
8624;3713;1;0;;14;4712;8;3502
6345;7239;1;0;;22;4712;20;3502
6998;8186;1;0;;7;4712;7;3502
2422;6986;1;0;;2;4712;2;3502
994;7407;1;0;;18;4712;20;3502
441;2982;1;0;;10;4712;8;3502
946;3906;1;0;;9;4712;7;3502
3759;5551;1;0;;20;4712;21;3502
1804;7387;1;0;;4;4712;3;3502
9764;1413;1;0;;7;4712;5;3502
8976;2517;1;0;;17;4712;15;3502
1679;3994;1;0;;13;4712;7;3502
6582;3017;1;0;;24;4712;25;3502
5096;4926;1;0;;8;4712;5;3502
5830;9365;1;0;;12;4712;7;3502
2635;4729;1;0;;4;4712;6;3502
3382;7192;1;0;;19;4712;19;3502
6900;2660;1;0;;14;4712;17;3502
9054;2380;1;0;;22;4712;21;3502
8985;6580;1;0;;19;4712;19;3502
935;5313;1;0;;23;4712;11;3502
6215;5700;1;0;;19;4712;20;3502
3458;3026;1;0;;1;4712;0;3502
501;734;1;0;;12;4712;9;3502
1174;1398;1;0;;6;4712;3;3502
2933;4917;1;0;;21;4712;22;3502
8033;3782;1;0;;18;4712;19;3502
6537;7650;1;0;;20;4712;24;3502
9599;4662;1;0;;21;4712;27;3502
34;6474;1;0;;14;4712;9;3502
6136;7393;1;0;;18;4712;17;3502
8947;2232;1;0;;21;4712;18;3502
7204;5829;1;0;;20;4712;18;3502
7060;1868;1;0;;3;4712;1;3502
1978;9736;1;0;;2;4712;1;3502
4482;6671;1;0;;20;4712;24;3502
4134;8326;1;0;;3;4712;6;3502
1412;9538;1;0;;1;4712;2;3502
4568;584;1;0;;22;4712;27;3502
5481;8322;1;0;;20;4712;21;3502
9881;2035;1;0;;19;4712;21;3502
1357;106;1;0;;14;4712;14;3502
4441;282;1;0;;1;4712;1;3502
2363;2726;1;0;;7;4712;6;3502
9940;1376;1;0;;21;4712;16;3502
5355;8159;1;0;;20;4712;23;3502
3219;6862;1;0;;7;4712;6;3502
4828;6071;1;0;;21;4712;23;3502
9982;9933;1;0;;3;4712;1;3502
9565;5955;1;0;;15;4712;17;3502
2719;8433;1;0;;9;4712;5;3502
7270;2640;1;0;;8;4712;7;3502
3634;4563;1;0;;19;4712;24;3502
8100;9571;1;0;;4;4712;3;3502
1416;9129;1;0;;20;4712;16;3502
7505;1393;1;0;;8;4712;5;3502
2299;3955;1;0;;19;4712;17;3502
8097;3608;1;0;;13;4712;9;3502
6652;629;1;0;;23;4712;24;3502
2168;376;1;0;;2;4712;3;3502
2568;7788;1;0;;21;4712;23;3502
8234;8770;1;0;;17;4712;11;3502
649;9407;1;0;;21;4712;25;3502
4875;9707;1;0;;14;4712;15;3502
57;5652;1;0;;20;4712;10;3502
8148;1180;1;0;;16;4712;12;3502
465;2267;1;0;;17;4712;14;3502
4055;3978;1;0;;15;4712;12;3502
5535;3451;1;0;;8;4712;7;3502
5018;9661;1;0;;18;4712;17;3502
9414;4183;1;0;;21;4712;12;3502
239;3199;1;0;;6;4712;3;3502
2255;6205;1;0;;1;4712;1;3502
2356;7811;1;0;;6;4712;7;3502
2574;1547;1;0;;22;4712;26;3502
8038;6191;1;0;;4;4712;5;3502
6623;7294;1;0;;12;4712;12;3502
4433;359;1;0;;3;4712;3;3502
5183;7048;1;0;;1;4712;1;3502
8610;3895;1;0;;3;4712;3;3502
6391;5645;1;0;;12;4712;9;3502
221;4685;1;0;;15;4712;12;3502
147;5915;1;0;;10;4712;9;3502
2746;2417;1;0;;2;4712;3;3502
6481;4867;1;0;;19;4712;22;3502
6410;9250;1;0;;20;4712;17;3502
6421;2744;1;0;;11;4712;12;3502
2776;6863;1;0;;2;4712;2;3502
5834;7683;1;0;;4;4712;2;3502
1211;4142;1;0;;20;4712;20;3502
7058;6848;1;0;;12;4712;12;3502
4584;3820;1;0;;12;4712;7;3502
318;7401;1;0;;20;4712;20;3502
5732;306;1;0;;10;4712;10;3502
889;8637;1;0;;19;4712;12;3502
7686;4176;1;0;;15;4712;15;3502
8142;5821;1;0;;12;4712;12;3502
8763;8841;1;0;;1;4712;1;3502
187;8547;1;0;;0;4712;0;3502
1156;6586;1;0;;16;4712;19;3502
8717;9855;1;0;;8;4712;6;3502
