source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;60;5893;7292;67;29;5071;7292;67
5024;9036;23;3262;5711;52;40;2685;5711;52
1569;5469;40;7600;7680;66;56;6226;7680;66
3363;7911;3;199;987;10;4;121;987;10
6946;4726;23;3128;4360;38;16;2164;4360;38
9083;3706;41;6392;8426;72;40;5559;8426;72
8743;8774;21;7973;8903;79;33;5650;8903;79
190;2756;0;1020;2208;20;8;699;2208;20
245;2721;24;7829;8948;50;22;3993;8948;50
8293;1964;41;8974;10042;85;29;6401;10042;85
747;7460;8;2699;4306;37;8;1662;4306;37
5319;3339;8;2534;3352;31;10;1582;3352;31
5336;8974;8;1141;3713;16;0;917;3713;19
9332;7544;17;5510;7409;66;18;4456;7409;66
8489;2014;27;8998;8951;75;27;6738;8951;75
1287;7167;0;693;1611;17;4;352;1611;17
9440;7626;22;6001;5405;48;17;4121;5405;49
1887;7245;9;4409;6138;54;16;3683;6138;54
1904;9033;18;3136;4973;47;9;2335;4973;47
7511;5946;19;7797;5641;52;12;3007;5641;52
3013;2078;0;128;652;8;0;60;652;8
4432;8739;13;1920;4201;43;9;1657;4201;43
2129;4673;0;281;1015;12;0;166;1015;12
3136;6818;17;6341;4738;43;21;3074;4738;43
4896;2427;9;2654;5044;53;9;2181;5044;53
8660;4125;26;9199;9394;86;28;6314;9394;86
5309;1503;23;6782;7575;64;21;5684;7575;64
7857;5384;22;5875;6924;65;28;4619;6924;65
1517;8176;43;9726;12235;112;47;7555;12235;112
1208;7160;45;7906;6984;66;31;4946;6984;66
5097;6722;22;6969;7327;68;29;5027;7327;68
888;806;28;7615;6980;67;34;5963;6980;67
9370;609;0;829;1722;18;10;426;1722;18
9038;6027;22;6156;6017;55;25;4378;6017;55
8173;3960;15;2845;3172;31;13;1405;3172;31
4199;6990;52;8452;9693;94;45;6710;9693;94
742;2895;28;7846;9510;86;26;6234;9510;86
8358;6407;6;547;1388;11;2;249;1388;11
5568;9476;19;7132;6221;55;30;4907;6221;55
224;351;32;6497;5143;44;16;3494;5143;44
6386;3108;17;3483;3744;33;7;1625;3744;33
132;1863;22;5168;5939;53;21;3943;5939;53
4446;6614;8;989;2009;17;1;541;2009;17
1129;3409;18;5515;5903;50;43;4545;5903;50
3587;1429;41;8765;9935;90;41;7156;9935;90
6080;7022;0;254;1354;15;0;188;1354;15
3090;9736;28;6523;8758;72;24;5751;8758;72
4777;6549;17;4536;5422;47;21;3131;5422;47
1901;6016;19;6368;7348;66;32;4865;7348;66
193;3821;10;1851;2729;31;12;1087;2729;31
9643;7677;25;4635;4844;43;10;2305;4844;43
8632;567;33;5129;5164;47;27;3770;5164;47
9097;5517;8;778;1641;15;8;361;1641;15
8481;8619;37;7601;8621;81;52;5837;8621;81
90;7970;24;3104;3352;31;10;1532;3352;31
8210;3566;55;9119;6155;65;34;3962;6155;65
2927;4559;12;2011;3883;39;21;1827;3883;39
2811;2317;44;6056;6050;56;33;4159;6050;56
3842;79;26;8739;9397;82;35;6904;9397;82
7524;1560;4;532;1346;13;2;294;1346;13
6876;3618;29;9876;12451;113;52;7521;12451;113
6863;9566;23;5991;4619;37;12;2419;4619;37
9415;5604;2;144;921;8;0;88;921;8
5613;9360;15;3782;3813;30;9;1650;3813;30
7037;9420;9;984;2897;27;6;803;2897;27
2717;3061;20;2822;3207;32;12;1511;3207;32
8319;3278;21;5785;6446;54;23;4366;6446;54
2062;3466;28;5512;6399;60;32;4657;6399;60
4994;3277;33;8786;8579;88;39;6775;8579;88
2149;4707;12;2358;3408;36;9;1464;3408;36
5059;8945;17;5974;5294;49;19;3129;5294;49
410;3811;8;1384;2225;24;8;725;2225;24
8139;7328;35;6624;5716;56;40;4134;5716;56
3181;1332;32;6871;7093;65;32;4388;7093;65
8078;5453;41;6246;6648;64;25;3612;6648;64
310;2115;17;1984;2696;26;9;996;2696;26
1406;2762;9;698;1590;15;5;348;1590;15
1770;4571;12;4017;5372;51;25;3473;5372;51
4060;970;12;2504;2988;33;17;1208;2988;33
9753;1788;27;4742;5562;49;24;2815;5562;49
1822;3800;39;6493;7170;57;38;4326;7170;57
8565;9560;33;6220;7099;56;41;4318;7099;56
6508;2462;9;1988;3418;34;19;1394;3418;34
557;9066;30;4535;5487;54;11;3541;5487;54
2805;7363;32;7983;8642;70;27;6646;8642;70
151;4579;18;4619;7156;66;16;4019;7156;66
846;5731;16;5337;4384;48;13;2639;4384;48
5228;178;16;3840;3805;31;8;2061;3805;31
1002;7868;7;1394;2489;22;3;906;2489;22
7500;7695;5;2819;4415;41;12;1936;4415;41
4598;4899;32;7706;6360;58;23;3638;6360;58
2803;5877;24;9491;7912;75;30;6079;7912;75
8411;1025;15;6995;7377;67;18;4546;7377;63
3604;2234;26;4944;5466;53;17;3454;5466;53
3270;6798;24;3496;3990;38;18;2238;3990;38
3905;4572;36;6053;7168;63;28;5077;7168;63
4164;4312;1;2357;3953;38;9;1621;3953;38
3821;1593;0;23;230;4;0;13;230;4
8055;4544;31;9635;7358;66;16;5000;7358;66
2600;2443;24;5647;6337;52;28;4900;6337;52
6070;545;42;9371;9701;86;45;7144;9701;86
5162;1822;17;5677;5127;51;8;2810;5127;51
9680;1726;28;9578;9433;83;28;6573;9433;83
9099;3743;26;8989;7486;73;34;5306;7486;73
4417;198;6;951;1968;17;7;540;1968;17
7278;6243;7;1258;2103;24;3;627;2103;24
3069;1207;3;606;1440;14;2;297;1440;14
7150;6562;34;6935;7214;71;32;5660;7214;71
7289;6684;9;4203;4768;41;16;3159;4768;41
113;1694;25;7554;5362;48;19;3766;5362;48
7129;6484;0;152;739;8;0;93;739;8
9689;2980;9;1970;2669;32;4;716;2669;32
6052;3185;9;3663;5183;54;25;2707;5183;54
4617;8893;27;6986;5746;50;34;3680;5746;50
7635;7817;46;9773;11334;99;45;7419;11334;99
997;3073;8;555;1558;17;0;362;1558;17
537;9261;37;6345;4771;35;7;2352;4771;34
7698;2105;30;6613;8698;44;19;3895;8698;44
2845;6612;0;745;2031;26;0;488;2031;26
9068;927;26;7960;5366;56;14;2860;5366;56
2306;9427;35;7910;6736;61;29;5322;6736;61
2166;2724;4;650;1495;16;0;340;1495;16
8311;235;6;1172;3666;35;0;1019;3666;35
220;1806;10;1466;2295;24;0;778;2295;24
186;5359;16;5180;4836;43;14;3346;4836;43
1813;236;16;2562;3330;29;0;1565;3330;29
9944;7216;18;4667;5284;49;29;3465;5284;49
6165;9880;16;1951;2655;25;2;1037;2655;25
5536;7383;30;4349;4771;44;35;3219;4771;44
8814;5128;52;8290;8446;78;52;5929;8446;78
1957;8606;46;7659;6013;52;28;3307;6013;52
6310;9664;36;4567;5382;50;9;3176;5382;50
9538;5739;30;8561;8796;76;17;5494;8796;76
8563;5047;8;1618;2416;23;0;782;2416;23
7815;5674;25;8659;9482;90;18;5712;9482;90
8835;8964;26;8984;8203;79;25;6199;8203;79
4514;6374;0;443;1302;16;0;255;1302;16
6697;2118;11;1026;2271;22;0;658;2271;22
6041;4932;18;1958;2651;22;9;1020;2651;22
5585;8157;38;6335;8485;76;27;5470;8485;76
8084;8557;22;4979;6155;52;31;4131;6155;52
997;6872;30;4970;6850;54;36;4386;6850;54
5128;9237;39;8619;8943;91;39;6891;8943;91
2024;892;28;4768;4325;40;27;2572;4325;40
1757;9100;36;5545;6506;59;31;4570;6506;59
6895;285;49;8635;8083;77;49;6649;8083;77
4433;1041;26;4661;4690;41;28;3105;4690;41
2848;4348;30;4140;5119;40;17;3057;5119;40
4213;238;2;701;1624;16;2;295;1624;16
7042;5037;13;6141;5544;50;24;4357;5544;50
1749;4276;5;1437;3140;32;10;994;3140;29
6324;2612;14;2615;3132;26;13;1458;3132;26
245;4868;6;1005;2335;23;4;688;2335;23
2681;3180;23;5421;6919;62;24;4729;6919;62
5703;3430;30;9132;9775;95;32;6790;9775;95
1537;932;12;2651;4816;50;13;2353;4816;50
9801;2298;29;9133;8936;73;32;7042;8936;74
9028;9558;14;2814;4213;40;9;1599;4213;40
8156;5529;8;2371;4813;43;10;2038;4813;43
7639;8980;21;5515;5757;55;29;3720;5757;55
3199;1862;31;5554;7344;64;29;4703;7344;64
8624;3713;33;4200;4314;42;17;1915;4314;42
6345;7239;43;7536;6862;67;32;5296;6862;67
6998;8186;10;1916;3967;35;13;1707;3967;35
2422;6986;2;399;1183;13;1;192;1183;13
994;7407;23;6882;7869;74;25;5205;7869;74
441;2982;16;3323;5098;11;17;2023;5098;12
946;3906;17;2632;3271;29;13;1531;3271;29
3759;5551;41;7472;8478;78;41;5794;8478;78
1804;7387;9;985;2443;21;6;712;2443;21
9764;1413;14;1953;3086;32;11;1262;3086;32
8976;2517;36;5914;5572;49;31;3977;5572;49
1679;3994;23;3672;3880;38;10;1660;3880;38
6582;3017;28;8731;9746;92;21;6242;9746;92
5096;4926;9;2235;2829;23;10;1215;2829;23
5830;9365;10;3401;3691;31;10;1644;3691;31
2635;4729;2;1367;3227;29;8;1135;3227;29
3382;7192;30;6116;6924;60;40;5229;6924;60
6900;2660;22;4834;5743;54;17;4253;5743;54
9054;2380;36;9454;7658;77;27;5607;7658;73
8985;6580;39;6220;6467;55;30;5048;6467;55
935;5313;48;7044;5099;39;17;2654;5099;39
6215;5700;46;7153;7329;67;31;5212;7329;67
3458;3026;0;187;1111;14;0;133;1111;14
501;734;13;3293;4618;45;16;2332;4618;45
1174;1398;9;1612;2411;28;4;782;2411;28
2933;4917;35;8558;7516;68;20;6280;7516;68
8033;3782;25;5961;6874;60;26;5071;6874;60
6537;7650;36;8042;9812;93;52;6796;9812;93
9599;4662;41;8053;8924;79;41;6717;8924;79
34;6474;27;4136;3919;36;18;2213;3919;36
6136;7393;33;5931;5488;48;38;4378;5488;48
8947;2232;37;8666;7998;72;28;4717;7998;72
7204;5829;42;7311;9043;81;39;4621;9043;81
7060;1868;0;661;1531;10;0;313;1531;10
1978;9736;8;324;1080;11;1;166;1080;11
4482;6671;17;7807;9807;85;24;6609;9807;85
4134;8326;0;748;2077;20;9;436;2077;20
1412;9538;0;324;1074;11;5;167;1074;11
4568;584;23;9955;10038;88;31;6947;10038;88
5481;8322;30;7201;7685;69;34;5483;7685;69
9881;2035;43;7721;7640;66;41;5890;7640;66
1357;106;31;4321;6399;56;26;3666;6399;56
4441;282;0;237;960;10;9;129;960;10
2363;2726;12;1596;3569;31;12;1413;3569;31
9940;1376;43;8795;7121;66;36;4597;7121;66
5355;8159;46;7904;8838;85;44;6704;8838;85
3219;6862;8;1964;3425;33;8;1578;3425;33
4828;6071;23;7529;9051;81;33;6634;9051;81
9982;9933;0;656;2075;18;11;425;2075;18
9565;5955;33;5424;7038;62;38;4683;7038;62
2719;8433;29;2701;3818;38;15;1308;3818;38
7270;2640;21;2546;3178;27;13;1422;3178;27
3634;4563;38;7922;9627;89;49;6728;9627;89
8100;9571;9;884;1785;19;9;493;1785;19
1416;9129;41;7108;6469;59;32;4317;6469;59
7505;1393;18;2475;3535;34;12;1337;3535;34
2299;3955;29;6766;7839;72;17;4674;7839;72
8097;3608;11;2933;4157;38;11;2019;4157;38
6652;629;30;9998;10526;97;38;6892;10526;97
2168;376;4;814;1939;22;0;413;1939;22
2568;7788;31;8859;7734;69;37;6470;7734;69
8234;8770;38;5463;4513;47;21;2904;4513;47
649;9407;29;9481;9406;86;56;6967;9406;86
4875;9707;29;5011;6370;54;30;4272;6370;54
57;5652;31;6416;4867;47;10;2428;4867;47
8148;1180;36;5090;4569;38;16;2931;4569;38
465;2267;42;6219;8104;73;33;3957;8104;73
4055;3978;33;5335;4739;41;29;3138;4739;41
5535;3451;12;2417;3462;37;19;1650;3462;37
5018;9661;33;6712;5634;55;38;4305;5634;55
9414;4183;36;7135;6183;60;20;3018;6183;60
239;3199;10;1670;2438;20;8;809;2438;20
2255;6205;0;122;770;8;0;86;770;8
2356;7811;17;1789;3858;40;9;1607;3858;40
2574;1547;46;8647;9363;78;50;6774;9363;78
8038;6191;7;931;2424;20;3;685;2424;20
6623;7294;13;3453;5714;56;12;3044;5714;56
4433;359;0;999;1907;20;8;554;1907;20
5183;7048;0;292;1089;8;0;165;1089;8
8610;3895;0;989;1922;17;8;514;1922;17
6391;5645;8;3351;3781;34;11;2120;3781;34
221;4685;20;5072;6627;61;8;3270;6627;61
147;5915;8;2700;4064;38;8;1983;4064;38
2746;2417;8;732;1961;23;0;596;1961;23
6481;4867;39;7544;7301;73;44;6017;7301;73
6410;9250;25;7702;6268;55;16;4557;6268;55
6421;2744;18;3146;4495;40;17;2698;4495;40
2776;6863;3;610;1504;15;0;350;1504;15
5834;7683;8;1036;1859;19;0;489;1859;19
1211;4142;35;7623;6417;55;39;4906;6417;55
7058;6848;24;3539;5500;57;28;2955;5500;57
4584;3820;8;3919;3789;34;9;1626;3789;34
318;7401;29;7645;7259;74;31;5398;7259;74
5732;306;10;3104;5129;49;11;2707;5129;49
889;8637;30;6563;5270;42;21;3067;5270;42
7686;4176;16;4962;5307;46;17;4120;5307;46
8142;5821;16;3872;5212;50;15;2858;5212;50
8763;8841;0;248;1159;12;0;177;1159;12
187;8547;0;93;587;4;8;47;587;4
1156;6586;24;5695;7478;65;27;5061;7478;65
8717;9855;12;1528;2323;21;1;749;2323;21
9850;2568;6;552;1369;16;1;272;1369;16
4858;5903;0;701;1555;16;0;343;1555;16
4209;7941;29;7949;8680;81;17;4301;8680;81
5998;9850;21;8058;7202;58;21;5406;7202;58
9690;4959;8;3121;3536;30;8;1426;3536;30
7245;3097;39;6016;4711;49;25;2632;4711;49
2002;9701;36;5390;7413;64;34;4791;7413;64
5128;6754;17;8335;8737;74;19;4622;8737;74
3608;7639;3;1923;2615;24;10;947;2615;24
7530;2979;20;5812;7056;70;39;5038;7056;70
9772;2009;47;7433;5930;50;33;4143;5930;50
866;6568;7;1111;1979;17;6;561;1979;17
4035;8899;42;9755;9717;100;55;6613;9717;100
3723;9769;30;5048;5544;49;35;4131;5544;49
8919;5832;17;2238;2834;26;8;1115;2834;26
8870;1234;48;9285;8500;83;32;6564;8500;83
2171;6513;33;9734;8382;72;36;5070;8382;72
6409;9744;16;7531;7092;68;26;5174;7092;68
5116;9654;8;1466;2422;22;5;882;2422;22
4769;5525;17;4004;3920;39;9;1516;3920;39
643;5048;8;1218;2429;24;8;802;2429;24
1363;6489;18;5554;7455;68;22;3700;7455;68
424;9614;8;2143;3466;35;9;1625;3466;35
2865;253;20;3028;3299;28;10;1468;3299;28
2064;5177;35;7326;5780;47;30;4152;5780;47
5032;4092;37;7926;8236;74;36;5668;8236;74
8374;8806;9;2868;5429;52;16;2572;5429;52
2821;177;22;6982;5321;45;18;2313;5321;45
