source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
7611;5959;48;4966;163;4712;81;3502
5024;9036;48;4966;42;4712;52;3502
1569;5469;48;4966;78;4712;86;3502
6946;4726;48;4966;66;4712;24;3502
9083;3706;48;4966;52;4712;39;3502
8743;8774;48;4966;57;4712;39;3502
190;2756;48;4966;6;4712;7;3502
245;2721;48;4966;35;4712;26;3502
8293;1964;48;4966;43;4712;36;3502
747;7460;48;4966;16;4712;11;3502
5319;3339;48;4966;15;4712;11;3502
5336;8974;48;4966;8;4712;8;3502
9332;7544;48;4966;28;4712;42;3502
8489;2014;48;4966;47;4712;47;3502
1287;7167;48;4966;4;4712;3;3502
9440;7626;48;4966;25;4712;22;3502
1887;7245;48;4966;21;4712;26;3502
1904;9033;48;4966;26;4712;13;3502
7511;5946;48;4966;29;4712;16;3502
4432;8739;48;4966;10;4712;13;3502
2129;4673;48;4966;2;4712;1;3502
3136;6818;48;4966;29;4712;18;3502
4896;2427;48;4966;13;4712;11;3502
8660;4125;48;4966;35;4712;37;3502
5309;1503;48;4966;28;4712;32;3502
7857;5384;48;4966;27;4712;34;3502
1517;8176;48;4966;33;4712;37;3502
1208;7160;48;4966;30;4712;28;3502
5097;6722;48;4966;28;4712;26;3502
888;806;48;4966;30;4712;47;3502
9370;609;48;4966;7;4712;3;3502
9038;6027;48;4966;29;4712;24;3502
8173;3960;48;4966;21;4712;10;3502
4199;6990;48;4966;35;4712;35;3502
742;2895;48;4966;42;4712;54;3502
8358;6407;48;4966;3;4712;3;3502
5568;9476;48;4966;40;4712;28;3502
224;351;48;4966;36;4712;22;3502
6386;3108;48;4966;21;4712;12;3502
132;1863;48;4966;34;4712;39;3502
4446;6614;48;4966;6;4712;6;3502
1129;3409;48;4966;31;4712;32;3502
3587;1429;48;4966;38;4712;43;3502
6080;7022;48;4966;3;4712;2;3502
3090;9736;48;4966;39;4712;58;3502
4777;6549;48;4966;28;4712;21;3502
1901;6016;48;4966;30;4712;30;3502
193;3821;48;4966;12;4712;8;3502
9643;7677;48;4966;24;4712;16;3502
8632;567;48;4966;30;4712;34;3502
9097;5517;48;4966;4;4712;5;3502
8481;8619;48;4966;33;4712;33;3502
90;7970;48;4966;18;4712;11;3502
8210;3566;48;4966;37;4712;26;3502
2927;4559;48;4966;12;4712;16;3502
2811;2317;48;4966;45;4712;39;3502
3842;79;48;4966;42;4712;45;3502
7524;1560;48;4966;4;4712;3;3502
6876;3618;48;4966;34;4712;37;3502
6863;9566;48;4966;30;4712;16;3502
9415;5604;48;4966;2;4712;2;3502
5613;9360;48;4966;20;4712;10;3502
7037;9420;48;4966;5;4712;7;3502
2717;3061;48;4966;13;4712;10;3502
8319;3278;48;4966;25;4712;20;3502
2062;3466;48;4966;23;4712;22;3502
4994;3277;48;4966;29;4712;31;3502
2149;4707;48;4966;14;4712;12;3502
5059;8945;48;4966;22;4712;13;3502
410;3811;48;4966;7;4712;4;3502
8139;7328;48;4966;24;4712;18;3502
3181;1332;48;4966;24;4712;20;3502
8078;5453;48;4966;22;4712;16;3502
310;2115;48;4966;9;4712;5;3502
1406;2762;48;4966;3;4712;1;3502
1770;4571;48;4966;15;4712;19;3502
4060;970;48;4966;12;4712;6;3502
9753;1788;48;4966;17;4712;12;3502
1822;3800;48;4966;23;4712;19;3502
8565;9560;48;4966;20;4712;18;3502
6508;2462;48;4966;9;4712;6;3502
557;9066;48;4966;17;4712;14;3502
2805;7363;48;4966;25;4712;37;3502
151;4579;48;4966;21;4712;17;3502
846;5731;48;4966;19;4712;13;3502
5228;178;48;4966;14;4712;10;3502
1002;7868;48;4966;5;4712;5;3502
7500;7695;48;4966;12;4712;9;3502
4598;4899;48;4966;25;4712;16;3502
2803;5877;48;4966;25;4712;24;3502
8411;1025;48;4966;22;4712;23;3502
3604;2234;48;4966;18;4712;15;3502
3270;6798;48;4966;14;4712;9;3502
3905;4572;48;4966;21;4712;21;3502
4164;4312;48;4966;12;4712;6;3502
8055;4544;48;4966;26;4712;20;3502
2600;2443;48;4966;19;4712;19;3502
6070;545;48;4966;26;4712;32;3502
5162;1822;48;4966;20;4712;14;3502
9680;1726;48;4966;28;4712;26;3502
9099;3743;48;4966;26;4712;21;3502
4417;198;48;4966;4;4712;3;3502
7278;6243;48;4966;5;4712;2;3502
3069;1207;48;4966;3;4712;1;3502
7150;6562;48;4966;21;4712;22;3502
7289;6684;48;4966;16;4712;12;3502
113;1694;48;4966;25;4712;15;3502
7129;6484;48;4966;2;4712;1;3502
9689;2980;48;4966;7;4712;4;3502
6052;3185;48;4966;14;4712;11;3502
4617;8893;48;4966;21;4712;16;3502
7635;7817;48;4966;24;4712;26;3502
997;3073;48;4966;3;4712;2;3502
537;9261;48;4966;21;4712;11;3502
7698;2105;48;4966;25;4712;29;3502
2845;6612;48;4966;4;4712;3;3502
9068;927;48;4966;24;4712;12;3502
2306;9427;48;4966;24;4712;22;3502
2166;2724;48;4966;2;4712;2;3502
8311;235;48;4966;5;4712;5;3502
220;1806;48;4966;6;4712;4;3502
186;5359;48;4966;17;4712;18;3502
1813;236;48;4966;10;4712;7;3502
9944;7216;48;4966;16;4712;14;3502
6165;9880;48;4966;9;4712;6;3502
5536;7383;48;4966;16;4712;15;3502
8814;5128;48;4966;24;4712;22;3502
1957;8606;48;4966;23;4712;13;3502
6310;9664;48;4966;17;4712;12;3502
9538;5739;48;4966;23;4712;21;3502
8563;5047;48;4966;7;4712;2;3502
7815;5674;48;4966;23;4712;21;3502
8835;8964;48;4966;22;4712;27;3502
4514;6374;48;4966;1;4712;2;3502
6697;2118;48;4966;4;4712;3;3502
6041;4932;48;4966;7;4712;6;3502
5585;8157;48;4966;20;4712;20;3502
8084;8557;48;4966;16;4712;16;3502
997;6872;48;4966;16;4712;16;3502
5128;9237;48;4966;24;4712;24;3502
2024;892;48;4966;17;4712;9;3502
1757;9100;48;4966;19;4712;19;3502
6895;285;48;4966;24;4712;24;3502
4433;1041;48;4966;17;4712;12;3502
2848;4348;48;4966;14;4712;12;3502
4213;238;48;4966;4;4712;1;3502
7042;5037;48;4966;18;4712;17;3502
1749;4276;48;4966;8;4712;4;3502
6324;2612;48;4966;10;4712;7;3502
245;4868;48;4966;3;4712;3;3502
2681;3180;48;4966;20;4712;23;3502
5703;3430;48;4966;34;4712;26;3502
1537;932;48;4966;11;4712;11;3502
9801;2298;48;4966;26;4712;26;3502
