source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;90;5893;7292;67;34;5071;7292;67
5024;9036;22;3262;5711;52;18;2685;5711;52
1569;5469;33;7600;7680;66;41;6226;7680;66
3363;7911;1;199;987;10;4;121;987;10
6946;4726;15;3128;4360;38;13;2164;4360;38
9083;3706;23;6392;8426;72;52;5559;8426;72
8743;8774;36;7973;8903;79;33;5650;8903;79
190;2756;6;1020;2208;20;5;699;2208;20
245;2721;24;7829;8948;50;21;3993;8948;50
8293;1964;29;8974;10042;85;38;6401;10042;85
747;7460;11;2699;4306;37;21;1662;4306;37
5319;3339;14;2534;3352;31;13;1582;3352;31
5336;8974;5;1141;3713;16;7;917;3713;19
9332;7544;28;5510;7409;66;22;4456;7409;66
8489;2014;23;8998;8951;75;28;6738;8951;75
1287;7167;2;693;1611;17;4;352;1611;17
9440;7626;18;6001;5405;48;18;4121;5405;49
1887;7245;14;4409;6138;54;17;3683;6138;54
1904;9033;12;3136;4973;47;10;2335;4973;47
7511;5946;21;7797;5641;52;14;3007;5641;52
3013;2078;1;128;652;8;1;60;652;8
4432;8739;7;1920;4201;43;7;1657;4201;43
2129;4673;0;281;1015;12;2;166;1015;12
3136;6818;26;6341;4738;43;24;3074;4738;43
4896;2427;11;2654;5044;53;10;2181;5044;53
8660;4125;27;9199;9394;86;46;6314;9394;86
5309;1503;26;6782;7575;64;28;5684;7575;64
7857;5384;20;5875;6924;65;22;4619;6924;65
1517;8176;32;9726;12235;112;34;7555;12235;112
1208;7160;34;7906;6984;66;39;4946;6984;66
5097;6722;34;6969;7327;68;36;5027;7327;68
888;806;38;7615;6980;67;44;5963;6980;67
9370;609;7;829;1722;18;6;426;1722;18
9038;6027;37;6156;6017;55;30;4378;6017;55
8173;3960;16;2845;3172;31;11;1405;3172;31
4199;6990;33;8452;9693;94;40;6710;9693;94
742;2895;27;7846;9510;86;28;6234;9510;86
8358;6407;3;547;1388;11;2;249;1388;11
5568;9476;22;7132;6221;55;32;4907;6221;55
