source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;73;5893;7292;67;42;5071;7292;67
5024;9036;17;3262;5711;52;25;2685;5711;52
1569;5469;46;7600;7680;66;43;6226;7680;66
3363;7911;3;199;987;10;4;121;987;10
6946;4726;22;3128;4360;38;25;2164;4360;38
9083;3706;34;6392;8426;72;42;5559;8426;72
8743;8774;21;7973;8903;79;25;5650;8903;79
190;2756;8;1020;2208;20;1;699;2208;20
245;2721;25;7829;8948;50;15;3993;8948;50
8293;1964;23;8974;10042;85;27;6401;10042;85
747;7460;16;2699;4306;37;1;1662;4306;37
5319;3339;16;2534;3352;31;4;1582;3352;31
5336;8974;8;1141;3713;16;6;917;3713;19
9332;7544;20;5510;7409;66;16;4456;7409;66
8489;2014;32;8998;8951;75;26;6738;8951;75
1287;7167;0;693;1611;17;8;352;1611;17
9440;7626;17;6001;5405;48;17;4121;5405;49
1887;7245;20;4409;6138;54;31;3683;6138;54
1904;9033;13;3136;4973;47;9;2335;4973;47
7511;5946;24;7797;5641;52;8;3007;5641;52
3013;2078;0;128;652;8;0;60;652;8
4432;8739;7;1920;4201;43;7;1657;4201;43
2129;4673;0;281;1015;12;9;166;1015;12
3136;6818;17;6341;4738;43;9;3074;4738;43
4896;2427;8;2654;5044;53;8;2181;5044;53
8660;4125;32;9199;9394;86;24;6314;9394;86
5309;1503;18;6782;7575;64;22;5684;7575;64
7857;5384;20;5875;6924;65;19;4619;6924;65
1517;8176;19;9726;12235;112;30;7555;12235;112
1208;7160;34;7906;6984;66;25;4946;6984;66
5097;6722;18;6969;7327;68;16;5027;7327;68
888;806;27;7615;6980;67;17;5963;6980;67
9370;609;10;829;1722;18;3;426;1722;18
9038;6027;23;6156;6017;55;19;4378;6017;55
8173;3960;11;2845;3172;31;0;1405;3172;31
4199;6990;24;8452;9693;94;32;6710;9693;94
742;2895;33;7846;9510;86;40;6234;9510;86
8358;6407;1;547;1388;11;0;249;1388;11
5568;9476;38;7132;6221;55;14;4907;6221;55
224;351;27;6497;5143;44;9;3494;5143;44
6386;3108;16;3483;3744;33;8;1625;3744;33
132;1863;19;5168;5939;53;17;3943;5939;53
4446;6614;0;989;2009;17;8;541;2009;17
1129;3409;17;5515;5903;50;24;4545;5903;50
3587;1429;22;8765;9935;90;26;7156;9935;90
6080;7022;0;254;1354;15;0;188;1354;15
3090;9736;20;6523;8758;72;25;5751;8758;72
4777;6549;16;4536;5422;47;17;3131;5422;47
1901;6016;25;6368;7348;66;18;4865;7348;66
193;3821;8;1851;2729;31;8;1087;2729;31
9643;7677;12;4635;4844;43;16;2305;4844;43
8632;567;31;5129;5164;47;32;3770;5164;47
9097;5517;0;778;1641;15;12;361;1641;15
8481;8619;39;7601;8621;81;26;5837;8621;81
90;7970;19;3104;3352;31;9;1532;3352;31
8210;3566;36;9119;6155;65;20;3962;6155;65
2927;4559;8;2011;3883;39;13;1827;3883;39
2811;2317;29;6056;6050;56;21;4159;6050;56
3842;79;30;8739;9397;82;39;6904;9397;82
7524;1560;1;532;1346;13;8;294;1346;13
6876;3618;39;9876;12451;113;47;7521;12451;113
6863;9566;35;5991;4619;37;22;2419;4619;37
9415;5604;2;144;921;8;0;88;921;8
5613;9360;18;3782;3813;30;10;1650;3813;30
7037;9420;0;984;2897;27;8;803;2897;27
2717;3061;9;2822;3207;32;10;1511;3207;32
8319;3278;17;5785;6446;54;21;4366;6446;54
2062;3466;25;5512;6399;60;20;4657;6399;60
4994;3277;26;8786;8579;88;32;6775;8579;88
2149;4707;8;2358;3408;36;9;1464;3408;36
5059;8945;20;5974;5294;49;14;3129;5294;49
410;3811;0;1384;2225;24;8;725;2225;24
8139;7328;19;6624;5716;56;21;4134;5716;56
3181;1332;18;6871;7093;65;34;4388;7093;65
8078;5453;40;6246;6648;64;29;3612;6648;64
310;2115;12;1984;2696;26;5;996;2696;26
1406;2762;7;698;1590;15;6;348;1590;15
1770;4571;21;4017;5372;51;17;3473;5372;51
4060;970;24;2504;2988;33;8;1208;2988;33
9753;1788;32;4742;5562;49;21;2815;5562;49
1822;3800;29;6493;7170;57;22;4326;7170;57
8565;9560;18;6220;7099;56;20;4318;7099;56
6508;2462;8;1988;3418;34;4;1394;3418;34
557;9066;8;4535;5487;54;16;3541;5487;54
2805;7363;17;7983;8642;70;25;6646;8642;70
151;4579;8;4619;7156;66;17;4019;7156;66
846;5731;16;5337;4384;48;8;2639;4384;48
5228;178;17;3840;3805;31;8;2061;3805;31
1002;7868;0;1394;2489;22;8;906;2489;22
7500;7695;8;2819;4415;41;9;1936;4415;41
4598;4899;26;7706;6360;58;16;3638;6360;58
2803;5877;28;9491;7912;75;16;6079;7912;75
8411;1025;17;6995;7377;67;14;4546;7377;63
3604;2234;8;4944;5466;53;17;3454;5466;53
3270;6798;11;3496;3990;38;8;2238;3990;38
3905;4572;17;6053;7168;63;23;5077;7168;63
4164;4312;3;2357;3953;38;10;1621;3953;38
3821;1593;0;23;230;4;0;13;230;4
8055;4544;20;9635;7358;66;21;5000;7358;66
2600;2443;16;5647;6337;52;13;4900;6337;52
6070;545;20;9371;9701;86;27;7144;9701;86
5162;1822;15;5677;5127;51;9;2810;5127;51
9680;1726;16;9578;9433;83;24;6573;9433;83
9099;3743;16;8989;7486;73;16;5306;7486;73
4417;198;3;951;1968;17;0;540;1968;17
7278;6243;0;1258;2103;24;8;627;2103;24
3069;1207;0;606;1440;14;0;297;1440;14
7150;6562;18;6935;7214;71;16;5660;7214;71
