source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
7611;5959;106;5893;7292;67;43;5071;7292;67
5024;9036;22;3262;5711;52;23;2685;5711;52
1569;5469;36;7600;7680;66;34;6226;7680;66
3363;7911;2;199;987;10;2;121;987;10
6946;4726;14;3128;4360;38;9;2164;4360;38
9083;3706;23;6392;8426;72;37;5559;8426;72
8743;8774;19;7973;8903;79;29;5650;8903;79
190;2756;2;1020;2208;20;5;699;2208;20
245;2721;21;7829;8948;50;17;3993;8948;50
8293;1964;33;8974;10042;85;22;6401;10042;85
747;7460;17;2699;4306;37;1;1662;4306;37
5319;3339;8;2534;3352;31;18;1582;3352;31
5336;8974;11;1141;3713;16;6;917;3713;19
9332;7544;16;5510;7409;66;23;4456;7409;66
8489;2014;25;8998;8951;75;21;6738;8951;75
1287;7167;0;693;1611;17;9;352;1611;17
9440;7626;11;6001;5405;48;16;4121;5405;49
1887;7245;16;4409;6138;54;10;3683;6138;54
1904;9033;8;3136;4973;47;8;2335;4973;47
7511;5946;24;7797;5641;52;11;3007;5641;52
3013;2078;0;128;652;8;0;60;652;8
4432;8739;8;1920;4201;43;5;1657;4201;43
2129;4673;0;281;1015;12;0;166;1015;12
3136;6818;26;6341;4738;43;8;3074;4738;43
4896;2427;10;2654;5044;53;8;2181;5044;53
8660;4125;12;9199;9394;86;25;6314;9394;86
5309;1503;16;6782;7575;64;20;5684;7575;64
7857;5384;17;5875;6924;65;11;4619;6924;65
1517;8176;17;9726;12235;112;24;7555;12235;112
1208;7160;21;7906;6984;66;20;4946;6984;66
5097;6722;10;6969;7327;68;20;5027;7327;68
888;806;20;7615;6980;67;20;5963;6980;67
9370;609;10;829;1722;18;0;426;1722;18
9038;6027;27;6156;6017;55;26;4378;6017;55
8173;3960;21;2845;3172;31;8;1405;3172;31
4199;6990;17;8452;9693;94;24;6710;9693;94
742;2895;17;7846;9510;86;16;6234;9510;86
8358;6407;8;547;1388;11;0;249;1388;11
5568;9476;17;7132;6221;55;16;4907;6221;55
224;351;18;6497;5143;44;16;3494;5143;44
6386;3108;25;3483;3744;33;9;1625;3744;33
132;1863;20;5168;5939;53;39;3943;5939;53
4446;6614;8;989;2009;17;0;541;2009;17
1129;3409;26;5515;5903;50;24;4545;5903;50
3587;1429;28;8765;9935;90;43;7156;9935;90
6080;7022;9;254;1354;15;0;188;1354;15
3090;9736;30;6523;8758;72;25;5751;8758;72
4777;6549;8;4536;5422;47;8;3131;5422;47
1901;6016;20;6368;7348;66;17;4865;7348;66
193;3821;0;1851;2729;31;8;1087;2729;31
9643;7677;17;4635;4844;43;8;2305;4844;43
8632;567;9;5129;5164;47;17;3770;5164;47
9097;5517;0;778;1641;15;9;361;1641;15
8481;8619;20;7601;8621;81;18;5837;8621;81
90;7970;9;3104;3352;31;8;1532;3352;31
8210;3566;21;9119;6155;65;14;3962;6155;65
2927;4559;10;2011;3883;39;2;1827;3883;39
2811;2317;21;6056;6050;56;17;4159;6050;56
3842;79;18;8739;9397;82;26;6904;9397;82
7524;1560;0;532;1346;13;8;294;1346;13
6876;3618;19;9876;12451;113;25;7521;12451;113
6863;9566;15;5991;4619;37;12;2419;4619;37
9415;5604;10;144;921;8;0;88;921;8
5613;9360;10;3782;3813;30;8;1650;3813;30
7037;9420;0;984;2897;27;6;803;2897;27
2717;3061;8;2822;3207;32;8;1511;3207;32
8319;3278;16;5785;6446;54;18;4366;6446;54
2062;3466;10;5512;6399;60;24;4657;6399;60
4994;3277;23;8786;8579;88;23;6775;8579;88
2149;4707;8;2358;3408;36;9;1464;3408;36
5059;8945;16;5974;5294;49;9;3129;5294;49
410;3811;10;1384;2225;24;1;725;2225;24
8139;7328;18;6624;5716;56;16;4134;5716;56
3181;1332;22;6871;7093;65;13;4388;7093;65
8078;5453;21;6246;6648;64;13;3612;6648;64
310;2115;6;1984;2696;26;6;996;2696;26
1406;2762;2;698;1590;15;4;348;1590;15
1770;4571;5;4017;5372;51;19;3473;5372;51
4060;970;9;2504;2988;33;8;1208;2988;33
9753;1788;14;4742;5562;49;4;2815;5562;49
1822;3800;22;6493;7170;57;19;4326;7170;57
8565;9560;16;6220;7099;56;16;4318;7099;56
6508;2462;7;1988;3418;34;1;1394;3418;34
557;9066;19;4535;5487;54;11;3541;5487;54
2805;7363;18;7983;8642;70;28;6646;8642;70
151;4579;18;4619;7156;66;18;4019;7156;66
846;5731;16;5337;4384;48;20;2639;4384;48
5228;178;14;3840;3805;31;8;2061;3805;31
1002;7868;0;1394;2489;22;8;906;2489;22
7500;7695;6;2819;4415;41;10;1936;4415;41
4598;4899;16;7706;6360;58;13;3638;6360;58
2803;5877;18;9491;7912;75;29;6079;7912;75
8411;1025;12;6995;7377;67;20;4546;7377;63
3604;2234;11;4944;5466;53;9;3454;5466;53
3270;6798;19;3496;3990;38;13;2238;3990;38
3905;4572;20;6053;7168;63;16;5077;7168;63
4164;4312;5;2357;3953;38;9;1621;3953;38
3821;1593;0;23;230;4;9;13;230;4
8055;4544;21;9635;7358;66;21;5000;7358;66
2600;2443;20;5647;6337;52;20;4900;6337;52
6070;545;20;9371;9701;86;28;7144;9701;86
5162;1822;16;5677;5127;51;9;2810;5127;51
9680;1726;17;9578;9433;83;16;6573;9433;83
9099;3743;16;8989;7486;73;20;5306;7486;73
4417;198;0;951;1968;17;0;540;1968;17
7278;6243;8;1258;2103;24;0;627;2103;24
3069;1207;0;606;1440;14;8;297;1440;14
7150;6562;8;6935;7214;71;21;5660;7214;71
7289;6684;12;4203;4768;41;7;3159;4768;41
113;1694;18;7554;5362;48;10;3766;5362;48
7129;6484;0;152;739;8;0;93;739;8
9689;2980;8;1970;2669;32;8;716;2669;32
6052;3185;8;3663;5183;54;16;2707;5183;54
4617;8893;25;6986;5746;50;17;3680;5746;50
7635;7817;19;9773;11334;99;26;7419;11334;99
997;3073;0;555;1558;17;0;362;1558;17
537;9261;17;6345;4771;35;8;2352;4771;34
7698;2105;17;6613;8698;44;8;3895;8698;44
2845;6612;0;745;2031;26;8;488;2031;26
9068;927;10;7960;5366;56;15;2860;5366;56
2306;9427;10;7910;6736;61;20;5322;6736;61
2166;2724;0;650;1495;16;0;340;1495;16
8311;235;9;1172;3666;35;1;1019;3666;35
220;1806;8;1466;2295;24;1;778;2295;24
186;5359;20;5180;4836;43;12;3346;4836;43
1813;236;20;2562;3330;29;10;1565;3330;29
9944;7216;22;4667;5284;49;16;3465;5284;49
6165;9880;10;1951;2655;25;8;1037;2655;25
5536;7383;8;4349;4771;44;16;3219;4771;44
8814;5128;16;8290;8446;78;16;5929;8446;78
1957;8606;12;7659;6013;52;17;3307;6013;52
6310;9664;11;4567;5382;50;8;3176;5382;50
9538;5739;21;8561;8796;76;18;5494;8796;76
8563;5047;8;1618;2416;23;4;782;2416;23
7815;5674;29;8659;9482;90;33;5712;9482;90
8835;8964;25;8984;8203;79;16;6199;8203;79
4514;6374;0;443;1302;16;0;255;1302;16
6697;2118;8;1026;2271;22;0;658;2271;22
6041;4932;9;1958;2651;22;1;1020;2651;22
5585;8157;9;6335;8485;76;21;5470;8485;76
8084;8557;11;4979;6155;52;16;4131;6155;52
997;6872;11;4970;6850;54;12;4386;6850;54
5128;9237;39;8619;8943;91;35;6891;8943;91
2024;892;17;4768;4325;40;17;2572;4325;40
1757;9100;8;5545;6506;59;18;4570;6506;59
6895;285;16;8635;8083;77;19;6649;8083;77
4433;1041;14;4661;4690;41;10;3105;4690;41
2848;4348;8;4140;5119;40;9;3057;5119;40
4213;238;0;701;1624;16;8;295;1624;16
7042;5037;8;6141;5544;50;18;4357;5544;50
1749;4276;0;1437;3140;32;8;994;3140;29
6324;2612;8;2615;3132;26;0;1458;3132;26
245;4868;8;1005;2335;23;1;688;2335;23
2681;3180;17;5421;6919;62;16;4729;6919;62
5703;3430;11;9132;9775;95;19;6790;9775;95
1537;932;8;2651;4816;50;1;2353;4816;50
9801;2298;25;9133;8936;73;16;7042;8936;74
9028;9558;8;2814;4213;40;8;1599;4213;40
8156;5529;0;2371;4813;43;8;2038;4813;43
